doc_id,page_number,watersource_name,temporal_resolution,dates_of_recording,units_of_measurement,latitude,longitude,csv_files
70038669,80,Mojave River at Barstow,Annual and monthly (based on provided data),October 1930 to September 1963,"{'Discharge': 'cfs', 'Runoff': 'acre-feet'}",34.907,-117.0222,"70038669_page_80_table1.csv,70038669_page_80_table2.csv"
24065,18,Redwood Creek,Approximately 7 years (October 1973 to June 1978),10/03/1973-06/21/1978,"{'Altitude_Change': 'Feet (Ft)', 'Area_Change': 'Square Feet (ft2)'}",41.0,-124.0,24065_page_18_table1.csv
2835,6,Santa Ynez River,Annual,Not Specified-Not Specified,Not Specified,34.729,-120.192,2835_page_6_table1.csv
2835,6,Rock Creek and Little Rock Creek,Annual,Not Specified-Not Specified,Not Specified,34.661,-118.107,2835_page_6_table1.csv
2835,6,Mojave River,Annual,Not Specified-Not Specified,Not Specified,34.585,-115.849,2835_page_6_table1.csv
2447,308,Huntington Creek,Varies by year (usually monthly or specific dates),"May 2, 1913-1961","{'Gage Height': 'feet', 'Discharge': 'cfs'}",39.2167,-110.9167,"2447_page_308_table1.csv,2447_page_308_table2.csv"
57549,249,BISHOP CREEK BELOW POWERPLANT NO. 6,Monthly and yearly,10/01/1936-Current Year,"ft³/s, acre-ft/yr, hm³/yr",37.349722,-118.461944,57549_page_249_table1.csv
47988,79,Alameda Creek tributary No. 2 near Warm Springs,Annual,10/1958-01/1971,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",37.521666,-121.846944,"47988_page_79_table1.csv,47988_page_79_table2.csv"
47988,79,Alameda Creek tributary No. 1 near Warm Springs,Annual,10/1958-01/1971,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",37.241111,-121.846667,"47988_page_79_table1.csv,47988_page_79_table2.csv"
47988,79,Big Canyon Creek near Dublin,Annual,10/1958-01/1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",37.704167,-121.940278,"47988_page_79_table1.csv,47988_page_79_table2.csv"
47988,79,Arroyo Valle tributary near Livermore,Annual,10/1958-11/1970,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",37.645833,-121.798333,"47988_page_79_table1.csv,47988_page_79_table2.csv"
3217,238,"Santa Ynez River at H Street, near Lompoc",Yearly and Monthly,10/01/1947-09/30/1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",34.669444,-120.455556,"3217_page_238_table1.csv,3217_page_238_table2.csv,3217_page_238_table3.csv,3217_page_238_table4.csv"
