doc_id,page_number,watersource_name,temporal_resolution,dates_of_recording,units_of_measurement,latitude,longitude,csv_files
51055,25,Matilija Creek at Matilija,1949-1950 water year,01/01/1949-12/31/1950,"{'Runoff': 'acre-feet', 'Mean_Annual_Runoff': 'acre-feet', 'Length_of_Record': 'years', '1949-50 Peak_Discharge': 'Second-feet'}",34.4,-119.2,51055_page_25_table1.csv
51055,25,Ventura River near Ventura,1949-1950 water year,01/01/1949-12/31/1950,"{'Runoff': 'acre-feet', 'Mean_Annual_Runoff': 'acre-feet', 'Length_of_Record': 'years', '1949-50 Peak_Discharge': 'Second-feet'}",34.3,-119.2,51055_page_25_table1.csv
51055,25,North Fork of Matilija Creek at Matilija,1949-1950 water year,01/01/1949-12/31/1950,"{'Runoff': 'acre-feet', 'Mean_Annual_Runoff': 'acre-feet', 'Length_of_Record': 'years', '1949-50 Peak_Discharge': 'Second-feet'}",34.4,-119.2,51055_page_25_table1.csv
51055,25,Coyote Creek near Ventura,1949-1950 water year,01/01/1949-12/31/1950,"{'Runoff': 'acre-feet', 'Mean_Annual_Runoff': 'acre-feet', 'Length_of_Record': 'years', '1949-50 Peak_Discharge': 'Second-feet'}",34.3,-119.2,51055_page_25_table1.csv
614,160,Atascadero Creek near Goleta,Daily measurements across the water year October 1947 to September 1948,10/01/1947-09/30/1948,"{'Discharge': 'second-feet', 'Gage Height': 'feet', 'Runoff': 'acre-feet'}",34.423611,-119.811111,"614_page_160_table1.csv,614_page_160_table2.csv"
70038672,82,Beacon Creek at Helendale,Annual to monthly,10/01/1959-09/30/1964,"{'Discharge': 'cfs (cubic feet per second)', 'Gage Height': 'ft (feet)', 'Precipitation': 'inches'}",34.75,-117.31472,70038672_page_82_table1.csv
70038672,82,Mojave River at Barstow,Annual,10/01/1930-09/30/1964,"{'Discharge': 'cfs (cubic feet per second)', 'Gage Height': 'ft (feet)'}",34.90694,-117.02222,70038672_page_82_table1.csv
3033,135,Conejo Creek near Camarillo,Yearly (Annual peaks and measurements),01/18/1955-04/09/1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",34.209444,-118.993611,3033_page_135_table1.csv
15,283,Squaw Creek above Shasta Lake,Yearly,1945-06/01/1945 to 1950-12/31/1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",40.770833,-122.22222,"15_page_283_table1.csv,15_page_283_table2.csv,15_page_283_table3.csv,15_page_283_table4.csv"
15,283,Squaw Creek at Ydalpom,Monthly and yearly,1912-09/30/1913 to 1918-09/30/1919,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",40.770833,-122.22222,"15_page_283_table1.csv,15_page_283_table2.csv,15_page_283_table3.csv,15_page_283_table4.csv"
15,283,Pit River near Ydalpom,Years (1910-1943),1910-01/01/1910 to 1943-12/31/1943,{'Discharge': 'cubic feet per second (cfs)'},40.763888,-122.22222,"15_page_283_table1.csv,15_page_283_table2.csv,15_page_283_table3.csv,15_page_283_table4.csv"
27793,25,Sisquoc River near Sisquoc,Annual,04/01/1944-12/31/1972,cubic feet,34.9,-120.3,27793_page_25_table1.csv
27793,25,LaBrea Creek near Sisquoc,Annual,04/01/1944-12/31/1972,cubic feet,34.9,-120.3,27793_page_25_table1.csv
27793,25,Tepusquet Creek near Sisquoc,Annual,04/01/1944-12/31/1972,cubic feet,34.9,-120.3,27793_page_25_table1.csv
27793,25,Foxen Creek near Sisquoc,Annual,04/01/1944-12/31/1972,cubic feet,34.9,-120.3,27793_page_25_table1.csv
27793,25,Sisquoc River near Garey,Annual,04/01/1944-12/31/1972,cubic feet,34.9,-120.3,27793_page_25_table1.csv
3117,676,"Sacramento River at Sacramento, California",daily measurements between October and September over several years,"January 1904 to July 1905, June to November 1921, October 1948 to September 1970","{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet'}",38.58666667,-121.50444444,"3117_page_676_table1.csv,3117_page_676_table2.csv"
1276,272,Colorado River at Yuma,Annual,01/01/1902-12/31/1938,"{'Discharge': 'second-feet', 'Runoff': 'acre-feet'}",32.6953,-114.6174,1276_page_272_table1.csv
9716,24,"Wildcat Canyon Creek near Cool, CA",1972-77 (5 measurements over 5 years),01/24/1977-10/20/1977,ft s/s,38.919722,-120.969722,9716_page_24_table1.csv
9716,24,"Browns Bar Canyon Creek near Cool, CA",1972-77 (3 measurements over 5 years),01/24/1977-10/20/1977,ft s/s,38.914444,-120.978333,9716_page_24_table1.csv
9716,24,"Paynaster Creek near Cool, CA",1972-77 (4 measurements over 5 years),01/24/1977-10/20/1977,ft s/s,38.8925,-120.999444,9716_page_24_table1.csv
9716,24,"Plun Creek near Riverton, CA","1923-40, 1956e, 1977 (5 measurements over varied years)",06/05/1977-10/19/1977,ft s/s,38.756667,-120.426389,9716_page_24_table1.csv
9716,24,"Tells Creek near Kyburz, CA","1964-68e, 1969-71e, 1974-75e, 1976-77 (4 measurements over varied years)",06/16/1977-10/20/1977,ft s/s,38.9025,-120.367222,9716_page_24_table1.csv
9716,24,"Redwood Creek near Tanalpais Valley, CA","1962-73a, 1976 (4 measurements over varied years)",10/06/1976-12/06/1976,ft s/s,37.875,-122.581389,9716_page_24_table1.csv
9716,24,"Morses Creek at Bolinas, CA","1967-69e1, 1976 (4 measurements over varied years)",08/10/1976-12/06/1976,ft s/s,37.919444,-122.669167,9716_page_24_table1.csv
9716,24,"Audubon Creek near Bolinas, CA","1968-69e1, 1976 (3 measurements over varied years)",08/10/1976-12/06/1976,ft s/s,37.931389,-122.681944,9716_page_24_table1.csv
9716,24,"Pine Creek at Bolinas, CA","1967-70, 1976 (4 measurements over varied years)",08/10/1976-11/02/1976,ft s/s,37.585833,-122.691944,9716_page_24_table1.csv
9716,24,"Olena Creek at Olena, CA",1976-77d (5 measurements over 1 year),08/10/1976-09/12/1977,ft s/s,38.040833,-122.788889,9716_page_24_table1.csv
9716,24,"Arroyo Sausal near Marshall, CA","1959-60, 1976 (3 measurements over varied years)",08/10/1976-11/02/1976,ft s/s,38.158333,-122.7825,9716_page_24_table1.csv
2987,24,"Deerfield River at Charlemont, Mass",Yearly,1913-12/27 to 1928-12/37,cubic feet per second,42.6,-72.8,2987_page_24_table1.csv
2987,24,"Deerfield River at plant No. 2 of New England Power Co., near Shelburne Falls, Mass",Yearly,1927-November to 1936-March,cubic feet per second,42.5,-72.7,2987_page_24_table1.csv
2987,24,"Cold River near Hoosac Tunnel, Mass",Yearly,1936-March to 1996-Mar 19,cubic feet per second,42.7,-73.1,2987_page_24_table1.csv
2987,24,"East Branch of North River at dam at Foundry Village, Mass",Yearly,1936-Mar to 1937-April,cubic feet per second,42.62,-72.58,2987_page_24_table1.csv
