doc_id,page_number,watersource_name,temporal_resolution,dates_of_recording,units_of_measurement,latitude,longitude,csv_files
25119,44,South Fork Airport Wash near Tucson,Annual peaks from 1966 onwards,1966-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,North Fork Airport Wash near Tucson,Annual peaks from 1966 onwards,1966-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,West Branch Santa Cruz River at Tucson,Annual peaks from 1966 onwards,1966-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,Big Wash at Tucson,Annual peaks from 1966 onwards,1966-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,Anklam Wash at Tucson,Annual peaks from 1965 onwards,1965-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,West Speedway Wash near Tucson,Annual peaks from 1965 onwards,1965-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,Cemetery Wash at Tucson,Annual peaks from 1966 onwards,1966-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
25119,44,Tanque Verde (Rillito) Creek at Tucson,Daily or monthly figures from 1940-45 and annual peaks from 1966 onwards,1940-45;1966-,sq mi,32.2217,-110.9694,25119_page_44_table1.csv
1548,111,Sawpit Creek and Monrovia Pipe Line,"Daily for the year ending September 30, 1920",10/01/1919-09/30/1920,Second-feet,34.1321,-117.9906,"1548_page_111_table1.csv,1548_page_111_table2.csv"
3034,90,Kings River above North Fork,Varies (dates given per water year),"May 17, 1927 - July 22, 1956","{'Gage_Height': 'feet', 'Discharge': 'cubic feet per second'}",,,3034_page_90_table1.csv
3034,90,North Fork Kings River below Meadow Brook,"Annual peaks prior to Oct. 1, 1956; otherwise undefined","Prior to Oct. 1, 1956","{'Gage_Height': 'feet', 'Discharge': 'cubic feet per second'}",37.081389,-118.861944,3034_page_90_table1.csv
56418,544,EEL RIVER AT FORT SEWARD,Variable intervals between dates in the water year October 1973 to September 1974,11/13/1973-07/24/1974,"{'Temperature (C)': None, 'Sampling Points': None, 'Discharge (CFS)': None, 'Stream Width (FT)': None, 'Sediment Discharge (T/DAY)': None}",40.8,-124.1,"56418_page_544_table1.csv,56418_page_544_table2.csv"
15,401,Sacramento River at Verona,Yearly,1926-10/01/1940-09/30,"cubic feet per second, acre-feet",38.690556,-121.916667,"15_page_401_table1.csv,15_page_401_table2.csv"
15,401,North Fork American River near Colfax,Monthly and yearly,1911-10/01/1929-09/30,cubic feet per second,39.037639,-120.901667,"15_page_401_table1.csv,15_page_401_table2.csv"
