doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
70038398,413,Santa Rosa Creek near Santa Rosa,38.456944,-122.630556,,,Daily measurements over a year,07/01/1959-09/30/1966,Cubic feet per second (cfs) and acre-feet
431,91,Sawpit Creek,,,34.1333,-117.9531,Yearly,11/08/1916-09/30/1926,{'Discharge': 'second-feet'}
26382,2,Mad River,,,,,13-year period beginning October 1957,October 1957-September 1971,tons per year
15,64,North Fork Kings River below Meadow Brook,,,36.5,-118.9778,yearly,01/01/1922-12/31/1935,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}"
15,64,Helms Creek at Sand Meadow,37.0972,-118.9722,,,monthly and yearly,10/01/1923-09/30/1935,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}"
3089,673,Cottontail Creek tributary near Cayucos,35.481944,-120.873611,,,Annual,1960-01-26-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Redwood Gulch near Jolon,35.853333,-121.390833,,,Annual,1961-01-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Rat Creek near Lucia,36.092222,-121.6175,,,Annual,1961-01-26-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Doud Creek near Carmel,36.421667,-121.911111,,,Annual,1960-11-13-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Klondike Canyon near Carmel Valley,36.470833,-121.7125,,,Annual,1961-01-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Rinconada Creek tributary near Pozo,35.306944,-120.496389,,,Annual,1960-02-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,San Marcos Creek tributary near Paso Robles,35.689444,-120.796389,,,Annual,1960-01-26-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,White Canyon Creek at Cholame,35.713889,-120.304167,,,Annual,1959-02-16-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Indian Valley Creek tributary near Valleton,36.023611,-120.652778,,,Annual,1961-11-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Sapaque Creek tributary at Bryson,35.814167,-121.090833,,,Annual,1960-12-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,Sulphur Springs Canyon near Jolon,36.019444,-121.2375,,,Annual,1961-01-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3089,673,San Antonio River tributary near Pleyto,35.843056,-120.9625,,,Annual,1961-01-01-1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
2561,4,Hayfork Creek,,,40.6333,-123.5667,20-year recurrence interval,1901-05/01/YYYY-2021-12/31/YYYY,['cubic feet per second']
2560,63,Russian River near Ukiah,,,39.1578,-123.2022,"2.33, 5, 10, 25, 50 years",Not specified,discharge (cfs)
2560,63,Russian River near Calpella East Fork,,,39.1898,-123.1699,"2.33, 5, 10, 25, 50 years",Not specified,discharge (cfs)
2560,63,Russian River near Hopland,,,38.9764,-123.0327,"2.33, 5, 10, 25, 50 years",Not specified,discharge (cfs)
2560,63,Russian River near Cloverdale,,,38.7833,-123.075,"2.33, 5, 10, 25, 50 years",Not specified,discharge (cfs)
2560,63,Russian River near Healdsburg,,,38.6083,-122.8581,"2.33, 5, 10, 25, 50 years",Not specified,discharge (cfs)
2560,63,Dry Creek near Cloverdale,,,38.75,-122.9583,"2.33, 5, 10, 25, 50 years",Not specified,discharge (cfs)
15,386,South Yuba River at Jones Bar,,,,,Yearly,1941-10/01/1941-09/30/1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
15,386,Yuba River at Englebright Dam,39.239444,-121.267778,,,"{'Monthly': 'Monthly discharge and runoff measurements', 'Yearly': 'Average discharge for years (1941-1950)'}",1942-10/01/1942-09/30/1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
70038675,503,Cienega Creek near Templeton,35.5275,-120.8563889,,,Annual Maxima,01/16/1970-01/16/1970,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
70038675,503,Russian River near Redwood Valley,39.3194444,-123.2222222,,,Annual Maxima,01/23/1970-01/23/1970,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
70038675,503,Franz Creek near Kellogg,38.6083333,-122.7597222,,,Annual Maxima,01/23/1970-01/23/1970,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
70038675,503,Albion River near Comptche,39.2611111,-123.6166667,,,Annual Maxima,01/23/1970-01/23/1970,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
70038675,503,Jacoby Creek near Freshwater,40.7916667,-124.0027778,,,Annual Maxima,01/23/1970-01/23/1970,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
70038675,503,South Fork Salmon River near Forks of Salmon,41.2222222,-123.25,,,Annual Maxima,01/22/1970-01/22/1970,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
70038675,503,Hayfork Creek near Hayfork,40.5194444,-123.0847222,,,Annual Maxima,,"{'Gage Height': None, 'Discharge': None}"
70038675,503,South Fork Smith River near Crescent City,41.7916667,-124.025,,,Annual Maxima,,"{'Gage Height': None, 'Discharge': None}"
22104,224,Redwood Creek Estuary,41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 1A, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 1B, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 1C, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 2A, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 2B, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 2C, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 3A, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 3B, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 3C, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 4A, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 4B, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
22104,224,"Site 4C, near Orick",41.7834,-124.0687,,,Several days to years,09/22/1975-09/26/1974,g/kg
15,152,Orestimba Creek,37.5,-120.75,,,Monthly and yearly mean discharge measurements,1932-1950,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}"
29735,17,Sacramento River,,,40.758,-121.616,Annual,02/04/1944-01/03/1977,"{'Instantaneous_peak_discharge': 'cubic feet per second (ft3/s)', 'Maximum_mean_daily_discharge': 'cubic feet per second (ft3/s)'}"
9716,12,North Yuba River below Goodyears Bar,39.525,-120.9369444,,,Monthly and yearly discharge for some periods,10/1930-current,"{'Drainage Area': 'sq mi (km²)', 'Discharge': 'ft³/s (m³/s)', 'Volume': 'acre-ft/yr (hm³/yr)'}"
9716,12,North Fork American River at North Fork Dam,38.9194444,-121.0227778,,,Monthly and yearly discharge for some periods,10/1941-current,"{'Drainage Area': 'sq mi (km²)', 'Discharge': 'ft³/s (m³/s)', 'Volume': 'acre-ft/yr (hm³/yr)'}"
2809,137,Putah Creek,38.6551,-121.7635,,,Annual (from 1906 to 1952),05/01/1906-12/31/1952,Days
2809,137,Putah Creek at Winters,38.6551,-121.7635,,,Annual (from 1906 to 1952),05/01/1906-12/31/1952,Days
15,119,San Joaquin River Main Stem,,,36.9403,-119.6814,Monthly and yearly,1916-10/01-1950-09/30,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
733,96,San Mateo Creek,33.470833,-117.472222,,,hourly for specific dates; daily for water year data,10/1952-09/1965,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet', 'Water_Year_Discharge': 'acre-feet'}"
3033,103,Bautista Creek near Hemet,33.694444,-116.85,,,Irregular intervals (varies by year),12/05/1947-07/29/1958,"{'Gage_height': 'feet', 'Discharge': 'cfs'}"
3033,103,San Jacinto River near Elsinore,33.664167,-117.293056,,,Irregular intervals (varies by year),Prior to 1916-1965,"{'Gage_height': 'feet', 'Discharge': 'cfs'}"
724,159,Sespe Creek near Fillmore,34.450833,-118.925,,,Daily measurements during water year October 1959 to September 1960,09/01/1911-09/30/1960,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet'}"
3144,536,Gila Gravity Main Canal at Imperial Dam,,,32.8,-115.5,Daily measurements from October to September of each water year,"10/01/1963-09/30/1964, 10/01/1964-09/30/1965",Cubic Feet per Second (cfs)
15,78,Los Gatos Creek near Coalinga,36.2166666667,-120.45,,,Annual,10/01/1931-12/31/1941,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
4316,10,"Montpelier Creek below diversions at Montpelier, Idaho",,,42.123,-111.675,Annual peaks (water years),1944-07-01 to 1947-06-30,
