doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
3994,24,San Felipe Creek near Julian,,,,,Annual peaks (water years) from 1961 onwards,1961-,Square miles for drainage area
48072,28,BOUQUET CANYON CREEK,,,34.5833,-120.1667,Annual,01/01/1945-12/31/1967,acre-feet
48072,28,SANTA CLARA RIVER,,,34.9,-119.9833,Annual,01/01/1945-12/31/1967,acre-feet
70038398,96,Spencer Canyon Creek,34.77583333333333,-118.56888888888888,,,Annual and specific days,08/1964-09/1966,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet', 'Cfs-Days': None, 'Acre-Feet': None}"
3995,46,"Coffee Creek at Coffee, Calif",,,41.0,-123.4,Daily or monthly figures (calendar years),01/01/1910-12/31/1914,[not specified]
3995,46,"Coffee Creek near Trinity Center, Calif",,,40.9,-123.2,Daily or monthly figures (calendar years),01/01/1957-12/31/1966,[not specified]
3995,46,"Trinity River near Trinity Center, Calif",,,41.0,-123.4,Daily or monthly figures (calendar years),01/01/1910-12/31/1913,[not specified]
3995,46,"Swift Creek near Trinity Center, Calif",,,41.0,-123.5,Daily or monthly figures (calendar years),01/01/1910-12/31/1911,[not specified]
3995,46,"East Fork Trinity River near Trinity Center, Calif.",,,41.0,-123.3,Daily or monthly figures (calendar years),01/01/1911-12/31/1911,[not specified]
3995,46,"Slate Creek near Trinity Alps, Calif",,,41.4,-122.9,Annual peaks (water years),1961-,[not specified]
3995,46,"Trinity River at Lewiston, Calif",,,40.9,-122.6,Daily or monthly figures (calendar years),01/01/1911-,[not specified]
47988,125,Cedar Creek near Jamul,32.083333,-116.852778,,,Annual,11/21/1961-12/6/1966,"{'Gage Height': 'ft', 'Discharge': 'cfs'}"
47988,125,Rattlesnake Creek near Poway,32.976667,-117.022222,,,Annual,12/15/1961-5/8/1971,"{'Gage Height': 'ft', 'Discharge': 'cfs'}"
47988,125,Lake Hodges tributary near Escondido,33.088611,-117.113333,,,Annual,12/15/1961-12/21/1970,"{'Gage Height': 'ft', 'Discharge': 'cfs'}"
47988,125,San Luis Rey River tributary No. 2 near Fallbrook,33.36,-117.202222,,,Annual,12/15/1961-12/21/1970,"{'Gage Height': 'ft', 'Discharge': 'cfs'}"
573,54,Greenspot pipe line,,,34.10667,-117.09611,Yearly,1911-1944,second-feet
15,314,Stony Creek,39.361111,-122.5125,,,Yearly and Monthly,1908-09/30/1934-09/30/1934,"cubic feet per second, acre-feet"
15,314,Little Stony Creek,39.361111,-122.5125,,,Yearly and Monthly,1908-09/30/1934-09/30/1934,"cubic feet per second, acre-feet"
15,270,Hat Creek at Hawkins Ranch,40.75,-121.45,,,Monthly and yearly,10/01/1911-09/30/1913,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3033,92,San Timoteo Creek,34.0675,-117.2783,,,Daily to annual intervals,"Nov. 11, 1954 - Aug. 19, 1961","{'Gage_height': 'feet', 'Discharge': 'cfs'}"
3033,92,East Twin Creek (Strawberry Creek),34.1792,-117.2647,,,Annual intervals,"Feb. 22, 1920 - Apr. 26, 1931","{'Gage_height': 'feet', 'Discharge': 'cfs'}"
70038397,363,KLAMATH RIVER AT KLAMATH RIVER SCHOOL,,,41.5,-122.7,Variable (monthly during water year October 1964 to September 1965),10/06/1964-09/15/1965,"{'Silica': 'parts per million', 'Iron': 'parts per million', 'Calcium': 'parts per million', 'Magnesium': 'parts per million', 'Sodium': 'parts per million', 'Potassium': 'parts per million', 'Bicarbonate': 'parts per million', 'Carbonate': 'parts per million', 'Sulfate': 'parts per million', 'Chloride': 'parts per million', 'Fluoride': 'parts per million', 'Nitrate': 'parts per million', 'Boron': 'parts per million', 'Dissolved Solids (Residue at 180°C)': {'Parts Per Million': '', 'Tons Per Acre-Foot': '', 'Tons Per Day': ''}, 'Hardness as CaCO3': {'Calcium, Magnesium': '', 'Non-carbonate': ''}}"
56419,415,Los Gatos Creek,37.208333,-121.9875,,,Daily measurements from October to September over various years,"October 1929 to September 1944, October 1953 to September 1971","{'Discharge': 'cubic feet per second (cfs)', 'Acre-feet': 'acre-ft'}"
3217,187,Santa Anita Creek,34.186944,-118.043056,,,Monthly and yearly,1916-12-01 to 1950-09-30,cubic feet per second (cfs)
2913,109,Bear River,,,40.8,-112.4,Monthly and yearly,Oct/Nov/Dec/YYYY - Sep/YYYY,thousands of acre-feet
17489,16,"Truckee River at Tahoe City, Calif.",39.1234,-120.0678,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
17489,16,"Truckee River at Farad, Calif.",39.4426,-121.0269,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
17489,16,"Truckee River at Reno, Nev.",39.5277,-119.8138,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
17489,16,"Truckee River at Vista, Nev.",39.5512,-119.7663,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
17489,16,"Truckee River below Derby Dam, near Wadsworth, Nev.",39.6555,-118.9538,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
17489,16,"Truckee River at Wadsworth, Nev.",39.6576,-118.9499,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
17489,16,"Truckee River near Nixon, Nev.",39.2982,-119.5731,,,Annual,01/01/1970-12/31/1977,"{'Discharge': 'cubic feet per second', 'Volume': 'acre-feet per year'}"
1084,91,Bear River at Van Trent,,,40.4,-120.9,Annually,10/08/1904-09/30/1921,"{'Discharge': 'second-feet', 'Run-off_Depth': 'inches', 'Total_Run-off': 'acre-feet'}"
1084,91,American River at Fairoaks,,,38.7,-121.0,Annually,11/04/1904-09/30/1921,"{'Discharge': 'second-feet', 'Run-off_Depth': 'inches', 'Total_Run-off': 'acre-feet'}"
1084,91,Cache Creek at Yolo,,,38.7,-122.1,Annually,01/1903-09/1920,"{'Discharge': 'second-feet', 'Run-off_Depth': 'inches', 'Total_Run-off': 'acre-feet'}"
251,33,West Turkey Creek near Light,,,34.3772,-110.0164,Annual,01/01/1919-12/31/1925,Discharge (cubic feet per second)
251,33,White River at Fort Apache,,,34.3876,-109.5264,Annual,01/01/1912-12/31/1922,Discharge (cubic feet per second)
251,33,White River at Wanslee's Ranch near Fort Apache,,,34.3781,-109.5332,Annual,01/01/1918-12/31/1919,Discharge (cubic feet per second)
251,33,"White River at White River, Ariz.",,,34.3876,-109.5264,Annual,01/01/1916-12/31/1922,Discharge (cubic feet per second)
251,33,"White River near Preston, Nev.",,,38.7758,-117.1267,Annual,01/01/1913-12/31/1914,Discharge (cubic feet per second)
251,33,"Whitewater Creek near Mogollon, N. Mex.",,,33.75,-108.8,Annual,01/01/1909-12/31/1914,Discharge (cubic feet per second)
251,33,"Whitewater Draw near Douglas, Ariz.",,,31.3692,-109.5608,Annual,01/01/1911-12/31/1938,Discharge (cubic feet per second)
251,33,"Whitewater Draw near Rucker, Ariz.",,,34.3978,-110.0112,Annual,01/01/1919-12/31/1925,Discharge (cubic feet per second)
251,33,"Willow Creek near Prescott, Ariz.",,,34.5447,-112.4682,Annual,01/01/1932-12/31/1938,Discharge (cubic feet per second)
