doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
667,178,Santa Ynez River at narrows,34.636111,-120.425,,,Daily measurements during the water year October 1953 to September 1954,10/01/1953-09/30/1954,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second (cfs)', 'Annual Discharge': 'acre-feet'}"
733,448,Santa Ynez River at Solvang,34.584722,-120.143056,,,daily measurements over the water year October 1960 to September 1961,10/01/1960-09/30/1961,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet', 'Total Annual Discharge': 'acre-feet'}"
2987,165,"Sevier, Salina Creek",,,41.675,-112.0333,Daily to Annual,1905-01-29 to 1937-05-12,Second-feet and Square miles per second-foot
2987,165,"Gunnison River near Fillmore, Utah",,,38.03,-112.7,Daily to Annual,1912-01-02 to 1937-07-23,Second-feet and Square miles per second-foot
2987,165,"Meadow, Kanosh Creek near River near Meadow Corn Beaver",,,38.765,-112.64,Daily to Annual,1914-05-24 to 1937-05-18,Second-feet and Square miles per second-foot
2987,165,"Beaver River near Minersville, Utah",,,39.085,-112.57,Daily to Annual,1920-07-23 to 1937-09-18,Second-feet and Square miles per second-foot
2987,165,"Beaver River near North Fork of North Creek near South Coal, Utah",,,37.7,-113.0,Daily to Annual,1909-01-02 to 1921-12-11,Second-feet and Square miles per second-foot
2987,165,"Creek near Overland, Thousand Springs, Nevada",,,41.9,-114.8,Daily to Annual,1917-06-17 to 1918-07-03,Second-feet and Square miles per second-foot
2987,165,"Creek near Currant, Ruby Valley, Nevada",,,41.9,-115.0,Daily to Annual,1913-06-02 to 1914-07-29,Second-feet and Square miles per second-foot
2987,165,"Creek near Duckwater, Nevada",,,40.8,-115.7,Daily to Annual,1915-06-07 to 1916-04-28,Second-feet and Square miles per second-foot
2987,165,"Creek near Pahrump, Nevada",,,36.1,-115.9,Daily to Annual,1916-07-15 to 1922-08-11,Second-feet and Square miles per second-foot
2987,165,"River near Alamo, California",,,32.8,-115.5,Daily to Annual,1913-04-30 to 1921-01-15,Second-feet and Square miles per second-foot
29192,76,Delta-Mendota Canal,,,,,Annual,1959-07 to 1966-09,"{'Water_Discharge': 'cubic feet per second-days (cfs-days)', 'Suspended_Sediment_Discharge': 'tons', 'Particle_Size_Distribution_Percentage': '%', 'Sand_Discharge': 'tons'}"
1312,162,Ground Waters of Western San Diego County,,,33.0,-117.5,Annual,"July 1, 1903-06/30, 1914","{'Flow Duration': 'Days', 'Stream Discharge': 'Second feet'}"
1312,162,San Luis Rey River near Pala,,,33.2,-117.1,Annual,"July 1, 1903-06/30, 1914","{'Flow Duration': 'Days', 'Stream Discharge': 'Second feet'}"
1312,162,San Luis Rey River at Bonsall,,,33.1,-117.2,Annual,"July 1, 1911-06/30, 1915",{'Flow Duration': 'Days'}
1630,27,"CAMPO CREEK NEAR CAMPO, CALIF.",32.591111,-116.524722,,,Daily to yearly measurements,10/01/1936-09/30/1970,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet', 'Runoff': 'acre-feet'}"
