doc_id,page_number,watersource_name,temporal_resolution,dates_of_recording,units_of_measurement,latitude,longitude,csv_files
1140,12,Mississippi River,Annual,01/01/1899-12/31/1909,Not specified,44.9833,-93.2667,"1140_page_12_table1.csv,1140_page_12_table2.csv"
1140,12,Colorado River,Annual,01/01/1899-12/31/1909,Not specified,35.8647,-114.6265,"1140_page_12_table1.csv,1140_page_12_table2.csv"
1140,12,Sacramento River,Annual,01/01/1899-12/31/1909,Not specified,38.5816,-121.4944,"1140_page_12_table1.csv,1140_page_12_table2.csv"
1548,235,Cherry Creek,Daily for 1919-1920 and specific dates within years,01/01/1918-09/30/1920,"feet for gage height, second-feet for discharge",37.87,-119.52,"1548_page_235_table1.csv,1548_page_235_table2.csv"
2245,57,Pine Creek near Round Valley,1 year,01/01/1902-12/31/1923,cubic feet per second (cfs),39.3833,-123.2833,"2245_page_57_table1.csv,2245_page_57_table2.csv"
2245,57,Bishop Creek near Bishop,1 year,01/01/1902-12/31/1910,cubic feet per second (cfs),37.3603,-118.393,"2245_page_57_table1.csv,2245_page_57_table2.csv"
3217,258,Nacimiento River,Yearly,1940-01-01-1950-12-31,"cubic feet per second, acre-feet",,,"3217_page_258_table1.csv,3217_page_258_table2.csv"
3217,258,San Antonio River,Monthly and yearly,1922-10-01-1950-09-30,cubic feet per second,35.865278,-120.991667,"3217_page_258_table1.csv,3217_page_258_table2.csv"
3217,47,San Diego River near Santee,Annual,1936-12/31/1940,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",32.7738889,-117.1972222,"3217_page_47_table1.csv,3217_page_47_table2.csv,3217_page_47_table3.csv,3217_page_47_table4.csv"
3217,47,"San Diego River at San Diego, Calif.",Monthly and yearly,1913-12/31/1916,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",32.7611111,-117.1972222,"3217_page_47_table1.csv,3217_page_47_table2.csv,3217_page_47_table3.csv,3217_page_47_table4.csv"
3217,47,"Santa Ysabel Creek near Santa Ysabel, Calif.",Annual,1913-12/31/1914,{'Discharge': 'cubic feet per second (cfs)'},33.1277778,-116.6777778,"3217_page_47_table1.csv,3217_page_47_table2.csv,3217_page_47_table3.csv,3217_page_47_table4.csv"
3217,377,Spencer Creek near Keno,Monthly and yearly,1929-1932,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",42.158333,-122.027778,"3217_page_377_table1.csv,3217_page_377_table2.csv,3217_page_377_table3.csv,3217_page_377_table4.csv"
3217,377,Klamath River at Spencer Bridge,Monthly and yearly,1913-1931,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",42.133333,-122.033333,"3217_page_377_table1.csv,3217_page_377_table2.csv,3217_page_377_table3.csv,3217_page_377_table4.csv"
1607,417,Calaveras River at Jenny Lind,Annual,1935-01/01/1939-12/31,"['Second-feet', 'Acre-feet']",37.8,-120.5,"1607_page_417_table1.csv,1607_page_417_table2.csv,1607_page_417_table3.csv,1607_page_417_table4.csv,1607_page_417_table5.csv"
1607,417,Cosgrove Creek near Valley Springs,Annual,1930-01/01/1939-12/31,"['Second-feet', 'Acre-feet']",38.2,-120.8,"1607_page_417_table1.csv,1607_page_417_table2.csv,1607_page_417_table3.csv,1607_page_417_table4.csv,1607_page_417_table5.csv"
1607,417,North Fork of Mokelumne River below Salt Springs Dam,Annual,1928-01/01/1939-12/31,"['Second-feet', 'Acre-feet']",38.2,-120.8,"1607_page_417_table1.csv,1607_page_417_table2.csv,1607_page_417_table3.csv,1607_page_417_table4.csv,1607_page_417_table5.csv"
1607,417,Mokelumne River near Mokelumne Hill,Annual,1928-01/01/1939-12/31,"['Second-feet', 'Acre-feet']",38.1,-120.7,"1607_page_417_table1.csv,1607_page_417_table2.csv,1607_page_417_table3.csv,1607_page_417_table4.csv,1607_page_417_table5.csv"
1572,55,Lone Pine Creek,Daily and monthly measurements from October to September over multiple years (1919-1927),12/01/1919-09/30/1927,"{'Discharge': 'second-feet', 'Gage Height': 'feet', 'Run-off in acre-feet': 'acre-feet'}",36.3088,-118.4183,"1572_page_55_table1.csv,1572_page_55_table2.csv"
9956,121,Perris Channel Lateral 'B' at Perris Boulevard near March Field,"Various dates and times throughout the Water Years 1970-71, 1973-75",11/29/1970-04/MAR/1975,"{'Temperature': 'DEG C', 'StreamFlow': 'FT3/5', 'Sediment_Suspended': 'MG/L'}",33.883333,-117.275556,"9956_page_121_table1.csv,9956_page_121_table2.csv"
12711,15,Sacramento River at Butte City,Annual,01/31/1921-01/19/1973,"{'Elevation': 'feet', 'Discharge': 'cubic feet per second (ft3/s)'}",39.533,-122.267,12711_page_15_table1.csv
3033,228,Highland Creek near Kelseyville,Annual peaks for 1963-65,Annual peaks for 1963-65,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",38.936111,-122.907222,3033_page_228_table1.csv
1553,48,Santa Ana River near Prado,"Variable, measurements recorded at irregular intervals throughout the year",10/09/1921-09/21/1921,"{'Gage Height': 'Feet', 'Discharge': 'Second-feet'}",33.7333,-117.867,1553_page_48_table1.csv
