doc_id,page_number,watersource_name,temporal_resolution,dates_of_recording,units_of_measurement,latitude,longitude,csv_files
56792,80,"MCCLOUD RIVER ABOVE SHASTA LAKE, CA",Daily to monthly intervals from various years,1951-01/01 to current year,"{'Flow Rate (CFS)': 'cubic feet per second', 'Specific Conductance (μS/cm)': 'microsiemens per centimeter', 'pH (UNITS)': 'unitless', 'Temperature (°C)': 'degrees Celsius', 'Dissolved Oxygen (mg/L)': 'milligrams per liter', 'Chemical Oxygen Demand (mg/L)': 'milligrams per liter', 'Bicarbonate (mg/L)': 'milligrams per liter', 'Chloride (mg/L)': 'milligrams per liter', 'Total Solids (tons/day)': 'tons per day'}",41.0661,-122.1868,56792_page_80_table1.csv
15,300,Sacramento River near Red Bluff,Monthly and yearly,1892-09/1935,cubic feet per second (cfs),40.231944,-122.180556,15_page_300_table1.csv
604,56,Murrieta Creek,Daily measurements over months and annual totals,10/01/1946-09/30/1947,"{'Discharge': 'second-feet', 'Gage_Height': 'feet', 'Runoff': 'acre-feet'}",33.483333,-117.147222,"604_page_56_table1.csv,604_page_56_table2.csv"
56845,406,Mokelumne River,Monthly intervals on specific dates within the water year from October 1977 to September 1978,10/17/1977-05/04/1978,cells/mL and percent,38.067,-120.815,56845_page_406_table1.csv
614,98,San Antonio Creek,Daily measurements over water year October 1947 to September 1948,03/01/1901-09/30/1948,second-feet,34.214,-117.6667,"614_page_98_table1.csv,614_page_98_table2.csv"
3992,42,Colorado River,annual,1906-01/01/1963-12/31,mi) (sq mi),34.9933,-112.443,3992_page_42_table1.csv
3992,42,Gila River,annual,1906-01/01/1963-12/31,mi) (sq mi),34.9933,-112.443,3992_page_42_table1.csv
3992,42,Salt River,annual,1906-01/01/1963-12/31,mi) (sq mi),34.9933,-112.443,3992_page_42_table1.csv
3992,42,Carrizo Creek,annual,1906-01/01/1963-12/31,mi) (sq mi),34.2167,-110.8,3992_page_42_table1.csv
3992,42,Cibecue Creek,annual,1906-01/01/1963-12/31,mi) (sq mi),34.2167,-110.8,3992_page_42_table1.csv
3992,42,Chrysotile Canyon Creek,annual,1906-01/01/1963-12/31,mi) (sq mi),34.5,-111.4,3992_page_42_table1.csv
