,ID,PAGE_NUMBER,Latitude,Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type
0,56394,282,37.6663888889,-120.4411111111,"Lat 37°39'59"", long 120°26'28""","['[NW, NW14] sec.2 T.3 S., R.14 E.']",TUOLUMNE RIVER BELOW LA GRANGE DAM,Stanislaus County,10/01/1975-09/30/1976,Daily measurements from October to September,"{'Discharge': 'cubic feet per second (ft³/s)', 'Area': 'square miles (mi²), square kilometers (km²), acre-feet per year (acre-ft/yr), cubic hectometers per year (hm³/yr), cubic kilometers per year (km³/yr)'}",Stream discharge
1,2846,29,33.9619,-116.1183,Coachella Valley,"['T. 5 S., R. 7 E.']",Whitewater River,Riverside County,1948-01/01/1948-12/31/1967,Annual,acre-ft,Stream discharge
2,2846,29,33.9619,-116.1183,Coachella Valley,[],San Gorgonio Pass subbasin,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
3,2846,29,33.9619,-116.1183,Coachella Valley,[],Snow Creek,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
4,2846,29,33.9619,-116.1183,Coachella Valley,[],Falls Creek,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
5,2846,29,33.9619,-116.1183,Coachella Valley,[],Chino Canyon,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
6,2846,29,33.9619,-116.1183,Coachella Valley,[],Tahquitz Creek,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
7,2846,29,33.9619,-116.1183,Coachella Valley,[],Palm Canyon,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
8,2846,29,33.9619,-116.1183,Coachella Valley,[],Deep Creek (Palm Desert),Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
9,2846,29,33.9619,-116.1183,Coachella Valley,[],Miscellaneous,Riverside County,,Steady-state conditions,acre-ft,Groundwater recharge
