id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review
2850,45,38.5,-122.0,,,Coyote Valley,,Putah Creek,,Solano County,,,"['feet', 'gpm']",Stream Discharge,"['Putah Creek', 'flood-plain', 'channel deposits', 'alluvial fan']",main,2850_45,38.5,-122.0,Stream discharge,,,,,UNPARSED,,True
2850,45,38.5,-122.0,,,"Coyote Valley, near Putah Creek",,Well 11/6-19P1,,Solano County,,,['gpm'],Groundwater,"['wells', 'gravel beds', 'old channels', 'discharge']",main,2850_45,38.5,-122.0,Groundwater,,,,,UNPARSED,,True
2850,45,38.5,-122.0,,,"Coyote Valley, on the alluvial plain",,Well 11/6-30B1,,Solano County,,,"['feet', 'gpm']",Groundwater,"['alluvium', 'clay and gravel', 'gravel beds', 'discharge']",main,2850_45,38.5,-122.0,Groundwater,,,,,UNPARSED,,True
2850,45,38.5,-122.0,,,"Coyote Valley, on the alluvial plain",,Well 11/6-30B2,,Solano County,,,['feet'],Groundwater,"['alluvium', 'soil', 'gravel', 'clay']",main,2850_45,38.5,-122.0,Groundwater,,,,,UNPARSED,,True
2292,95,35.3333,-118.6667,,,Coordinates suggest a location within California state boundaries,['C -1'],J. H. Wertz,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",Not specified,Single measurement date not specified,Inches (hydraulic bore size),Groundwater,['Hydraulic'],main,2292_95,35.3333,-118.6667,Groundwater,,,,,UNPARSED,,True
2292,95,35.3333,-118.6667,,,Coordinates suggest a location within California state boundaries,['C -1'],Mr. Head,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",Not specified,Single measurement date not specified,Inches (bore size),"['Groundwater', 'Irrigation']",['Bored'],main,2292_95,35.3333,-118.6667,Groundwater,,,,,UNPARSED,,True
56417,257,,,38.5238889,-120.2077778,"SE% sec. 21, T.8 N., R.16 E. Eldorado National Forest, on right bank 1.8 mi (2.9 km) north of Salt Springs Dam, 3.4 mi (5.5 km) upstream from mouth, and 6.3 mi (10.1 km) southwest of Mokelumne Peak","['T.8 N., R.16 E., sec. 21']",Cole Creek Near Salt Springs Dam,Amador County,Amador County,"1927-11/1942, October 1943 to current year",Daily,"{'Discharge': 'ft3/s, m³/s', 'Gage_Height': 'ft, m'}",Stream Discharge,"['Gage', 'Discharge', 'Stream Flow']",main,56417_257,38.5238889,-120.2077778,Stream discharge,,1927,,"[1927, 1942, 1943]",OPEN_ENDED_IGNORED,,True
3034,50,36.1,-118.5,,,Near Tule River,[],"Hot Ducor, California near River Creek at White Deer, Calif.",Tulare County,,1995-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']",main,3034_50,36.1,-118.5,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
3034,50,36.1,-118.5,,,Near Tule River,[],"Tule Fork Porterville, Middle Springville of near Fork near River North Tule, Calif.",Tulare County,,2000-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']",main,3034_50,36.1,-118.5,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
3034,50,36.1,-118.5,,,Near Kaweah River,[],"near River Tule Calif. South Fork, near River Kaweah Fork Middle, Calif.",Tulare County,,2020-03/31/NA,Unknown,"[{'Recur-rence interval (years)': 'unknown', 'Discharge Cfs per (sq mi)': 'CFS/sq. mile', 'Flood-frequency Cfs': 'CFS', 'Gage height (feet)': 'feet', 'Areal Q2.33 (cfs)': 'CFS', 'Mean annual precipitation (inches)': 'inches', 'Altitude index (ftx 10 -3)': 'ft x 10^-3', 'Drainage area mi) (sq': 'square miles'}]",Stream Discharge,"['Discharge Cfs per (sq mi)', 'Flood-frequency', 'Gage height']",main,3034_50,36.1,-118.5,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
