id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review
sb3,2,34.4383,-119.5907,,,"Carpinteria, California",[],Carpinteria Basin,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Carpinteria Basin', 'water levels']",additional,sb3_2,34.4383,-119.5907,Groundwater,,,,,UNPARSED,no_year_<=1980_found,True
sb3,2,34.4389,-119.8373,,,"Goleta, California",[],Goleta Basin,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Goleta Basin', 'water levels']",additional,sb3_2,34.4389,-119.8373,Groundwater,,,,,UNPARSED,no_year_<=1980_found,True
sb3,2,34.6598,-120.0503,,,"Santa Ynez, California",[],Santa Ynez River Valley,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Stream Discharge,"['Santa Ynez River Valley', 'water levels']",additional,sb3_2,34.6598,-120.0503,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,2,34.9378,-120.1775,,,"Near San Antonio, California",[],San Antonio Creek Valley,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Stream Discharge,"['San Antonio Creek Valley', 'water levels']",additional,sb3_2,34.9378,-120.1775,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,2,34.9536,-120.4342,,,"Santa Maria, California",[],Santa Maria Valley,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Santa Maria Valley', 'water levels']",additional,sb3_2,34.9536,-120.4342,Groundwater,,,,,UNPARSED,no_year_<=1980_found,True
sb3,2,34.9807,-120.3569,,,"Cuyama, California",[],Cuyama Valley,Santa Barbara County and San Luis Obispo County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Cuyama Valley', 'water levels']",additional,sb3_2,34.9807,-120.3569,Groundwater,,,,,UNPARSED,no_year_<=1980_found,True
sb3,20,,,,,"T. 4 N., R. 25 W., sec. 19, T. 4 N., R. 25 W.",['4/25-19F4'],Observation Well 4/25-19F4,Santa Barbara County,,,,feet below land-surface datum,Groundwater,"['observation wells', 'ground-water basins', 'well numbers', 'rectangular system of subdivision']",additional,sb3_20,,,Groundwater,,,,,UNPARSED,,True
sb3,22,34.4406,-119.5972,34.4406,-119.5972,"Carpinteria, California",[],Carpinteria,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Carpinteria', 'water levels']",additional,sb3_22,34.4406,-119.5972,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,22,34.4418,-119.8496,34.4418,-119.8496,"Goleta, California",[],Goleta,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Goleta', 'water levels']",additional,sb3_22,34.4418,-119.8496,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,22,34.6422,-120.0594,34.6422,-120.0594,"Santa Ynez, California",[],Santa Ynez,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Santa Ynez', 'water levels']",additional,sb3_22,34.6422,-120.0594,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,22,34.9486,-120.0592,34.9486,-120.0592,"San Antonio, California",[],San Antonio,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['San Antonio', 'water levels']",additional,sb3_22,34.9486,-120.0592,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,22,34.9539,-120.4358,34.9539,-120.4358,"Santa Maria, California",[],Santa Maria,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Santa Maria', 'water levels']",additional,sb3_22,34.9539,-120.4358,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,22,34.9533,-119.6961,34.9533,-119.6961,"Cuyama Valley, California",[],Cuyama,,"San Luis Obispo County, Santa Barbara County",01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Cuyama', 'water levels']",additional,sb3_22,34.9533,-119.6961,Stream discharge,,,,,UNPARSED,no_year_<=1980_found,True
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",19F4,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']",additional,sb3_25,34.434,-119.6782,Groundwater,,,,,UNPARSED,no_year_<=1980_found,True
