doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
251,25,San Francisco River at Alma,,,35.0979,-107.6903,1 year,01/01/1904-12/31/1938,Not specified
251,25,San Francisco River at Clifton,,,33.8315,-109.789,1 year,01/01/1899-12/31/1938,Not specified
251,25,San Francisco River near Alma,,,35.0979,-107.6903,1 year,01/01/1912-12/31/1938,Not specified
251,25,San Francisco River near Glenwood,,,36.0567,-106.0869,1 year,01/01/1927-12/31/1938,Not specified
251,25,San Jose Canal near Solomonsville,,,32.9814,-111.6586,1 year,01/01/1899-12/31/1938,Not specified
56417,355,Lost Creek Near Clipper Mills,39.57361,-121.14056,,,Daily measurements across multiple years,"October 1927 to September 1941, October 1948 to current year","{'Discharge': 'cubic feet per second (ft3/s) and cubic meters per second (m3/s)', 'Area': 'square miles (mi2), square kilometers (km2), acre-feet (acre-ft), hectare cubic meters (hm3)', 'Flow Extremes': 'cubic feet per second'}"
3144,324,Tanque Verde Creek,32.2466667,-110.6794444,,,Daily (for water year measurements),10/1959-09/1965,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet', 'Acre-Foot': 'acre-ft'}"
2447,222,Middle Piney Creek near Big Piney,42.5555556,-110.3444444,,,Variable (detailed only for peak years),05/01/1914-11/23/1918,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
70038675,346,PAJARO RIVER NEAR GILROY,36.948333,-121.510833,,,Daily measurements over the water year (October 1969 to September 1970),10/01/1969-09/30/1970,"{'Discharge': 'cubic feet per second (cfs)', 'Water_Year_Discharge_Total': 'acre-feet', 'Mean_Daily_Discharge': 'cfs'}"
3089,338,Franz Creek near Kellogg,38.608333,-122.693056,,,"daily for specific months (Oct 1963 - Sep 1965), annual maximums and low-flow measurements between 1957-62","10/1963-09/1965, with additional data for water years 1957-62","{'Discharge': 'cubic feet per second', 'Gage height': 'feet', 'Annual total discharge': 'acre-feet'}"
3117,194,GRINDSTONE CREEK NEAR ELK CREEK,39.677222,-122.530833,,,Daily for water years October 1965 to September 1970; Monthly and yearly discharge recorded at other times.,"October 1935-November 1937, October 1939-April 1940, October 1965-September 1970","{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet', 'Water Year Total': 'acre-feet'}"
2913,211,City Creek near Salt Lake City,40.7717,-111.893,,,Yearly,1899-06/1900-05/1918-10,"['cubic feet per second', 'acre-feet']"
2913,375,North Fork Humboldt River near Halleck,40.933333,-115.55,41.0,-124.0,Monthly and yearly (time interval between sequential measurements not explicitly mentioned),January to March 1900; October 1902 to January 1904,"{'Discharge': 'cubic feet per second (cfs) and acre-feet', 'Gage Heights': 'feet'}"
3217,133,Santiago Creek at Santa Ana,33.7691666667,-117.8816666667,,,Monthly and yearly measurements,1929-03-02/1950-09,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
70038404,133,Teakettle Creek Tributary No. 2A,36.956944,-119.030556,,,daily measurements over water years October 1967 to September 1968,10/01/1957-09/30/1968,cubic feet per second (cfs)
47988,95,Willow Creek tributary,36.5902777778,-121.1958333333,,,Annual,08/31/1960-01/16/1970,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
47988,95,Thompson Creek,36.0705555556,-121.3430555556,,,Annual,08/31/1960-12/21/1970,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
47988,95,Arroyo Calero tributary,37.1777777778,-121.7583333333,,,Annual,09/15/1960-11/29/1970,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3034,94,Rancheria Creek near Smith Meadow,36.9513889,-118.9708333,,,annual,1925-05-25/1935-06-03,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
3034,94,"Teakettle Creek at site No. 3, near Patterson Mountain",36.9611111,-119.0263889,,,annual,Unknown Dates,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
