doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
56502,332,MIDDLE FORK EEL RIVER BELOW BLACK BUTTE RIVER,39.826389,-123.091667,,,Daily (from July to November for specific years),October 1976 to September 1977,"{'Temperature': 'Celsius (°C)', 'Distance': 'miles (mi) and kilometers (km)'}"
47988,96,Cholame Creek tributary,35.75278,-120.26389,,,Annual,09/26/1958-01/04/1965,"{'Gage Height (ft)': ['3.59', '2.73', '2.60', '4.99', '2.55', '3.44', '2.51', None, '11.50', None, '11.10', '(d)', '(r)', None], 'Discharge (cfs)': ['18', '.4', '.1', '118', '.5', '14', '.2', None, '750', None, '700', '(d)', '(b.5)', 'b0']}"
47988,96,White Canyon Creek,35.71389,-120.30417,,,Annual,10/04/1958-12/21/1971,"{'Gage Height (ft)': [None, None, None, '3.52', None, None, None, None, None, '(d)', '(r)', None], 'Discharge (cfs)': ['b.8', 'b0', 'b0', '(c)', 'b.1', 'b0', '0', 'b0', '444', '(d)', '(d)', 'b.5']}"
47988,96,Tumbleweed Creek,35.46583,-119.025,,,Annual,10/17/1958-05/26/1971,"{'Gage Height (ft)': [None, None, '2.86', '2.54', '4.65', None, None, '2.25', None, '2.47', None, '(d)'], 'Discharge (cfs)': ['No flow', 'b.05', '18', 'b12', '104', 'No flow', 'No flow', 'b1', 'No flow', 'b1', '(m)', 'b2']}"
47988,96,Culvert Creek,35.49722,-119.075,,,Annual,10/17/1958-12/06/1967,"{'Gage Height (ft)': [None, None, None, '2.76', '2.76', None, None, '2.76', None, None, '(d)'], 'Discharge (cfs)': ['No flow', 'No flow', 'No flow', 'b1', 'b1', 'No flow', 'No flow', '.6', 'No flow', 'No flow', None]}"
3034,97,North Fork Kings River below Rancheria Creek,36.9288889,-119.0083333,,,Annual,1927-05-16 to 1956-12-23,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3034,97,North Fork Kings River above Dinkey Creek at Balch Camp,36.9027778,-119.1208333,,,Annual,Prior to 1930 to at least 1956,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
1548,116,Little Santa Anita Creek,,,34.144,-118.0259,Yearly,04/15/1916-09/30/1920,{'Discharge': 'second-feet'}
3058,132,Little Tujunga Creek,34.275,-118.3722,,,Monthly (with some years having only yearly data),10/1928-09/1960,"['cfs', 'acre-ft']"
56412,294,"SACRAMENTO RIVER AT DELTA, CALIF.",40.939722,-122.416111,,,Daily measurements over a year (Oct 1971 - Sep 1972),10/01/1971-09/30/1972,"{'Discharge': 'cubic feet per second', 'Accumulated Volume': 'acre-feet'}"
4536,9,Surface Water Supply of Pacific Slope Basins,,,,,Yearly (ending September 30),1924,
1276,68,Colorado River above diversions to Grand Valley,,,39.0,-108.5,Annual,01/01/1897-12/31/1938,"{'Discharge': 'second-feet', 'Runoff': 'acre-feet'}"
3217,130,Santiago Creek at Santiago Dam,33.786111,-117.726389,,,Monthly and yearly,1932-10/01/1950-09/30,acre-feet
51672,29,Lytle Creek near Fontana,,,34.1049,-117.4312,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,Cajon Creek near Keenbrook,,,34.1354,-117.1872,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,Lone Pine Creek near Keenbrook,,,34.155,-117.1845,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,Warm Creek near Colton,,,34.0792,-117.307,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,"Santa Ana River at Riverside Narrows, near Arlington (g)",,,33.9594,-117.3766,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,Day Creek near Etiwanda,,,34.1038,-117.2972,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,Cucamonga Creek near Upland,,,34.1478,-117.1952,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs', 'Index': ''}"
51672,29,San Jacinto River near San Jacinto,,,33.7446,-116.9931,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs'}"
51672,29,San Jacinto River near Elsinore,,,33.7037,-117.2868,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs'}"
51672,29,Temescal Creek near Corona,,,33.8836,-117.5423,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs'}"
51672,29,San Antonio Creek near Claremont,,,34.1432,-117.7043,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs'}"
51672,29,"Santa Ana River below Prado Dam, near Prado (g)",,,33.9044,-117.2937,Annual (1951-52),1951/01/01-1952/12/31,{'Length': 'acres-feet'}
51672,29,"Santiago Creek at Santiago Dam, near Villa Park",,,33.828,-117.7238,Annual (1951-52),1951/01/01-1952/12/31,"{'Length': 'acres-feet', 'Median Annual Runoff': 'cfs'}"
3034,170,Licking Fork Mokelumne River near Railroad Flat,38.0166667,-120.4166667,,,Annual peaks,01/25/1914-13/05/1915,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3034,170,South Fork Mokelumne River near West Point,38.3683333,-120.5444444,,,"Annual peaks (prior to Oct. 1, 1943), partial-duration series thereafter",13/12/1933-25/04/1950,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
2561,15,Sprague River,,,41.7333,-123.8167,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2561,15,Wood River area,,,41.6667,-123.3,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2561,15,Klamath River drainage between Upper Klamath Lake and gage at Keno,,,41.6167,-122.75,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2561,15,Shasta River above mouth,,,41.5833,-122.6333,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2561,15,Scott River above Callahan damsite,,,41.5833,-122.8167,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2561,15,South Fork Salmon River above mouth,,,41.7333,-123.5833,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2561,15,North Fork Salmon River above mouth,,,41.7167,-123.2667,Annual,1900-1959,"{'Drainage Area': 'sq mi', 'Precipitation': 'inches', 'Runoff': [""1000's of acre-ft"", 'Inches'], 'Water Loss': 'inches'}"
2246,486,Tujunga Creek,,,34.305,-118.415,1 day to 3 years,08/21/1899-04/12/1905,Sec. ft.
2246,486,Little Tujunga Creek,,,34.3055,-118.4154,1 day to 15 years,08/11/1898-05/22/1916,Sec. ft.
2246,486,Main Supply Ditch plus Crystal Springs,,,34.29,-118.43,1 year to 16 years,01/15/1901-04/24/1901,Sec. ft.
2246,486,Cook Creek,,,34.2483,-118.2407,1 year,03/01/1917-03/01/1917,Sec. ft.
15,70,North Fork Kings River,,,37.0667,-119.15,Yearly,1920-10/1935-09,"{'Discharge': 'cubic feet per second and acre-feet', 'Date': 'MM/DD/YYYY'}"
15,70,Dinkey Creek at Dinkey Meadow,37.05,-119.15,,,"{'Monthly': 'Monthly', 'Yearly': 'Yearly'}",1921-10/1935-09,"{'Discharge': 'cubic feet per second and acre-feet', 'Date': 'MM/YYYY'}"
3992,39,Circular 110,,,32.2226,-110.9265,Yearly,1929-01/01/1929-12/31/1963,"['acre-feet', 'cubic feet per second']"
2447,473,Verde River,,,33.0333,-110.8167,Variable (daily to annual),"Feb. 24, 1891 - Aug. 15, 1962","{'Gage_height': 'feet', 'Discharge': 'cfs'}"
56404,461,Fall Creek at Copco,,,,,2 measurements per year,08/04/1976-09/14/1976,ft3/s
56404,461,Bogus Creek near Hornbrook,,,,,2 measurements per year,08/04/1976-09/14/1976,ft3/s
56404,461,Beaver Creek near Klamath River,,,,,2 measurements per year,08/04/1976-09/14/1976,ft3/s
56404,461,South Fork Scott River near Callahan,,,,,2 measurements per year,08/05/1976-09/15/1976,ft3/s
56404,461,Thompson Creek near Happy Camp,,,,,2 measurements per year,08/03/1976-09/14/1976,ft3/s
56404,461,Elk Creek near Happy Camp,,,,,2 measurements per year,08/03/1976-09/14/1976,ft3/s
56404,461,Coffee Creek near Trinity Center,,,,,2 measurements per year,08/02/1976-09/15/1976,ft3/s
56404,461,Deadwood Creek at Lewiston,,,,,4 measurements per year,04/05/1976-09/03/1976,ft3/s
2913,440,Camas Creek near Lakeview,42.2167,-120.1,,,Monthly and yearly,"1912-14, 1949-50","{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
2913,440,Crane Creek near Lakeview,42.2,-120.1,,,Monthly (Mar to June) and yearly,March to June 1914,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
733,352,Santa Clara River,34.399722,-118.703889,,,Daily to Annual,10/01/1952-09/30/1965,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet', 'Annual_Discharge': 'acre-feet'}"
52539,15,Santa Ynez River,34.671,-120.459,,,Annual (May to April),05/01/1957-04/30/1962,acre-feet
52539,15,Tributary Streams South of Lompoc Plain,34.662,-120.451,,,Annual (May to April),05/01/1957-04/30/1962,acre-feet
733,236,Santiago Creek at Santa Ana,33.768611,-117.881667,,,"Monthly (October to December 1928), then annual data thereafter",10/01/1928-09/30/1965,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_height': 'feet', 'Runoff': 'acre-feet'}"
3048,182,Santa Ynez River below Gibraltar Dam,34.524444,-119.686389,,,"monthly discharge measurements, with daily discharge data provided for the year October 1957 to September 1958",Apr 1920-September 1958,"{'Discharge': 'cubic feet per second (cfs)', 'Volume': 'acre-feet'}"
