doc_id,page_number,table_index,site_name,actual_content,action,skip_reason,notes
3217,210,0,"Sespe Creek near Fillmore, Calif.",annual,extracted_to_annual,,Water year + calendar year annual means + peaks; both year types extracted; OCR artifacts in some peak date/discharge cells
3217,210,1,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",annual_and_monthly,extracted_to_both,,"Monthly mean discharge (cfs); ""The year"" row extracted to annual; WY 1912 partial (Apr-Sep only)"
3217,210,2,"Santa Paula Creek below Sisar Creek, near Santa Paula, Calif.",annual_and_monthly,extracted_to_both,,"Monthly runoff (acre-feet); ""The year"" row extracted to annual; WY 1912 partial (Apr-Sep only)"
2913,70,0,"Bear River at Pescadero, Idaho",annual,extracted_to_annual,,"Bear River at Pescadero; WY+CY means+peaks; not in batch metadata (station on same page as Georgetown Creek); first data row OCR year ""1923"" corrected to 1922"
2913,70,1,"Georgetown Creek near Georgetown, Idaho",annual_and_monthly,extracted_to_both,,"Georgetown Creek monthly means (cfs); ""The year"" extracted to annual; WY 1913 Apr-Jul blank"
1607,414,0,"Turlook Canal near La Grange, Calif.",annual,extracted_to_annual,,"Turlook Canal WY+CY means; ""Maximum day"" column used as peak proxy (not momentary max); second-feet=cfs"
1607,414,1,Middle Fork of Stanislaus River,annual,extracted_to_annual,,No header row in table; column structure inferred from context (same page); 1909 absent; second-feet=cfs
1607,414,2,Reservoir near Middle Fork Stanislaus (Relief Reservoir),non_streamflow,skipped_not_streamflow,,Reservoir storage contents in acre-feet (Contents on Sept.30 / Dec.31); not stream discharge
2447,320,0,"East Fork Boulder Creek near Boulder, Utah",annual,extracted_to_annual,,Two-column crest-stage peaks; some years have multiple peaks per year; max peak taken; 1956-1957 absent
2447,320,1,"East Fork Deer Creek near Boulder, Utah",annual,extracted_to_annual,,Two-column crest-stage peaks; station description on prior page; gage datum changed 1959; 1956-1958 absent
2447,244,0,"Oak Creek near Oak Creek, Colo.",annual,extracted_to_annual,,Crest-stage annual peaks 1953-1957; two-column layout
2447,244,1,"Yampa River at Steamboat Springs, Colo.",annual,extracted_to_annual,,Annual peaks 1904-1927 (1907-1909 absent); multiple peaks some years; max taken
12711,16,0,Butte Creek near Durham,annual,extracted_to_annual,,Annual peak discharge + gage elevation; instantaneous peak used; max mean daily noted in notes field
70038405,295,0,"East Fork Russian River near Calpella, Calif.",daily,skipped_daily,,Daily mean discharge + suspended sediment concentration for WY 1968 (Apr-Sep); not annual
25119,26,0,Multiple stations - Green River Basin index,non_streamflow,skipped_not_streamflow,,"Station directory table: station names, drainage areas, periods of record only; no discharge values"
2913,179,0,"South Fork Provo River at Vivian Park, Utah",annual_and_monthly,extracted_to_both,,Monthly discharge (cfs) WY 1936-1950 continuation; The year annual rows extracted
