doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
70038669,80,Mojave River at Barstow,34.907,-117.0222,,,Annual and monthly (based on provided data),October 1930 to September 1963,"{'Discharge': 'cfs', 'Runoff': 'acre-feet'}"
24065,18,Redwood Creek,,,41.0,-124.0,Approximately 7 years (October 1973 to June 1978),10/03/1973-06/21/1978,"{'Altitude_Change': 'Feet (Ft)', 'Area_Change': 'Square Feet (ft2)'}"
2835,6,Santa Ynez River,,,34.729,-120.192,Annual,Not Specified-Not Specified,Not Specified
2835,6,Rock Creek and Little Rock Creek,,,34.661,-118.107,Annual,Not Specified-Not Specified,Not Specified
2835,6,Mojave River,,,34.585,-115.849,Annual,Not Specified-Not Specified,Not Specified
2447,308,Huntington Creek,39.2167,-110.9167,,,Varies by year (usually monthly or specific dates),"May 2, 1913-1961","{'Gage Height': 'feet', 'Discharge': 'cfs'}"
57549,249,BISHOP CREEK BELOW POWERPLANT NO. 6,37.349722,-118.461944,,,Monthly and yearly,10/01/1936-Current Year,"ft³/s, acre-ft/yr, hm³/yr"
47988,79,Alameda Creek tributary No. 2 near Warm Springs,37.521666,-121.846944,,,Annual,10/1958-01/1971,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
47988,79,Alameda Creek tributary No. 1 near Warm Springs,37.241111,-121.846667,,,Annual,10/1958-01/1971,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
47988,79,Big Canyon Creek near Dublin,37.704167,-121.940278,,,Annual,10/1958-01/1965,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
47988,79,Arroyo Valle tributary near Livermore,37.645833,-121.798333,,,Annual,10/1958-11/1970,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3217,238,"Santa Ynez River at H Street, near Lompoc",34.669444,-120.455556,,,Yearly and Monthly,10/01/1947-09/30/1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,238,"Santa Ynez River at Pine Canyon, near Lompoc",34.672222,-120.491667,,,Yearly and Monthly,1940-1946,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3034,78,Bear Creek near Springville,36.202222,-118.759999,,,Annual Peaks,1911-01-31/1965-12-27,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
3034,78,North Fork Tule River at Springville,36.139444,-118.804167,,,Annual Peaks,1957-05-19/1965-12-27,"{'Gage Height': 'feet', 'Discharge': 'cfs'}"
56419,406,SAN GREGORIO CREEK,37.325833,-122.385556,,,Daily measurements from October to September (Water Year),10/01/1969-09/30/1971,cubic feet per second (cfs) and feet for gage height
