,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,TIME_RANGE,UNITS_USED,WATER_TYPE,lat,lon,station_name,measurement_date,value,unit,Water_year
0,56394,282,,,,,,,,,,,,,,1975-01-01,40968.0,AC-FT,
1,56394,282,,,,,,,,,,,,,,1975-02-01,23362.0,AC-FT,
2,2846,29,NA,NA,NA,Whitewater River,"San Gorgonio Pass subbasin, Snow Creek, Falls Creek, Chino Canyon, Tahquitz Creek, Palm Canyon, Deep Creek (Palm Desert)",NA,1948-1967 to 20-year average,Yearly,Acre-feet,Groundwater,,,,,,,
3,2846,29,NA,NA,NA,"San Gorgonio Pass subbasin, Snow Creek, Falls Creek, Chino Canyon, Tahquitz Creek, Palm Canyon, Deep Creek (Palm Desert)",NA,NA,1948-1967 to 20-year average,Yearly,Acre-feet,Groundwater,,,,,,,
4,38797,8,NA,NA,T 3 N/S R 1 E/W S NE 1/4,CACHE CREEK DRAINAGE BASIN,"CACHE CREEK DRAINAGE BASIN, CALIFORNIA",A3,NA to NA,daily,,Stream Discharge,,,,,,,
5,38797,8,,,,,,,,,,,,,,,,,
6,53419,29,39.6975,-123.4750,"21N/15W -1R,M",Spring Pinches,,MENDOCINO,09-29-1966 to 09-29-1966,daily,gpm,Groundwater,,,,,,,
7,53419,29,39.6625,-123.5833,"21N/15W -19M,M","Mud Enterprises, Springs Valley, Mud (Jackson Springs) Branscomb",,MENDOCINO,09-29-1966 to 09-29-1966,daily,gpm,Groundwater,,,,,,,
8,53419,29,,,,"Soda, Nape, Soda Jacksons Springs Nasser, Napa A1",,NAPA,09-29-1966 to 09-29-1966,daily,gpm,Groundwater,,,,,,,
9,3067,268,9.1,35,13-15,,,,,,,,,,,,,,1955.0
10,3067,268,40.6,80,31-33,,,,,,,,,,,,,,1955.0
11,48176,27,NA,NA,NA,"24GEOLOGY AND GROUND WATER, PAJARO VALLEY AREA, CALIFORNIA",Pumpage year Gross pumpage (acre-feet),NA,1963-09-30 to 1969-09-30,yearly,acre-feet,Irrigation,,,,,,,
12,48176,27,NA,NA,NA,"24GEOLOGY AND GROUND WATER, PAJARO VALLEY AREA, CALIFORNIA",Pumpage year Gross pumpage (acre-feet),NA,1963-09-30 to 1969-09-30,yearly,acre-feet,Other,,,,,,,
13,48176,27,NA,NA,NA,"24GEOLOGY AND GROUND WATER, PAJARO VALLEY AREA, CALIFORNIA",Pumpage year Gross pumpage (acre-feet),NA,1963-09-30 to 1969-09-30,yearly,acre-feet,Total,,,,,,,
14,3067,266,NA,NA,NA,NA,NA,NA,01-01-1955 to 12-31-1955,Daily,Ac-ft,Precipitation,,,,,,,
15,3067,266,NA,NA,NA,NA,NA,NA,01-01-1955 to 12-31-1955,Daily,Ac-ft,Precipitation,,,,,,,
16,3067,266,NA,NA,NA,NA,NA,NA,01-01-1955 to 12-31-1955,Daily,Ac-ft,Precipitation,,,,,,,
17,28950,19,13,,NA,NA,NA,NA,NA to NA,NA,NA,Groundwater,,,,,,,
18,25076,28,36.2,-118.7,"T 9 N/S, R 10 E/W, S NW/SE 1/4",Erskine Creek near Isabella,Isabella,Kern,1910-11 to 1912-13,daily,cfs,Stream Discharge,,,,,,,
19,25076,28,36.2,-118.7,"T 9 N/S, R 10 E/W, S NW/SE 1/4",Basin Creek near Havilah,Havilah,Kern,1910-11 to 1912-13,daily,cfs,Stream Discharge,,,,,,,
20,25076,28,36.2,-118.7,"T 9 N/S, R 10 E/W, S NW/SE 1/4",Tejon House Creek at Tejon ranch house,Tejon Ranch House,Kern,1894-95 to 1896-97,daily,cfs,Stream Discharge,,,,,,,
21,25076,32,36.5400,-119.2100,"T13N, R14E, S27-28 NW/SE fraction (1/4)","Kaweah River at McKay Point, near Lemon Cove",,,01-01-1902 to 12-31-1926,Daily,,Stream Discharge,,,,,,,
22,2846,46,NA,NA,NA,Desert Hot Springs,Desert Hot Springs,NA,NA to NA,NA,acre-ft,Groundwater,,,,,,,
23,2846,46,NA,NA,NA,Mission Creek,Mission Creek,NA,NA to NA,NA,acre-ft,Groundwater,,,,,,,
24,2846,46,NA,NA,NA,Garnet Hill,Garnet Hill,NA,NA to NA,NA,acre-ft,Groundwater,,,,,,,
25,2846,46,NA,NA,NA,Whitewater River,Whitewater River,NA,NA to NA,NA,acre-ft,Groundwater,,,,,,,
26,2846,46,NA,NA,NA,Total,Total,NA,NA to NA,NA,acre-ft,Groundwater,,,,,,,
27,56394,254,NA,NA,T 1 N/S (R 1 E/W) S NE/SE fraction,Precipitation,,,01-01-1900 to 31-12-1999,Yearly,AC-FT,Precipitation,,,,,,,
