URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/ofr80750,23423,ofr80750,Report,USGS Numbered Series,,"Appraisal of ground-water resources in the San Antonio Creek Valley, Santa Barbara County, California",Open-File Report,80-750,,,,2331-1258,0196-1497,,10.3133/ofr80750,WRI/OFR,,,1980,false,English,U.S. Geological Survey,,,"iv, 48 p.",,,,,,,,,,,,,United States,California,Santa Barbara County,,San Antonio Creek Valley,,,,,,"Hutchinson, C. B.",,,2,4f4e4ac6e4b07f02db67a394,,,,,,,,
https://pubs.usgs.gov/publication/ofr80299,42380,ofr80299,Report,USGS Numbered Series,,"Seismotectonic setting of Santa Barbara Channel area, Southern California",Open-File Report,80-299,,,,2331-1258,0196-1497,,10.3133/ofr80299,,,,1980,false,English,U.S. Geological Survey,,,2 Plates: 31.85 x 23.68 inches and 28.93 x 15.46 inches,,,,,,,,,,,,,United States,California,,,Santa Barbara Channel area,,,,,,"Yerkes, R.F.; Greene, H. Gary; Tinsley, J. C.; Lajoie, K. R.",,,3,4f4e4a09e4b07f02db5fa84a,,,,,,,,
https://pubs.usgs.gov/publication/fwsobs80_01_16,36740,fwsobs80_01_16,Report,Federal Government Series,,Selected vertebrate endangered species of the seacoast of the United States-Santa Barbara song sparrow,FWS/OBS,80/01.16,,,,,,,,-,,,1980,false,ENGLISH,U.S. Fish and Wildlife Service,,,"ca. 600 p. : ill., maps; 30 cm.",,,,,,,,,,,,,,,,,,,,,,,National Fish And Wildlife Laboratory,,,0,4f4e4a02e4b07f02db5f81da,,,,,,,,
https://pubs.usgs.gov/publication/wri8095,28542,wri8095,Report,USGS Numbered Series,,"Potential effects of increased ground-water pumpage on Barka Slough, San Antonio Creek Valley, Santa Barbara County, California",Water-Resources Investigations Report,80-95,,,,,,,10.3133/wri8095,,,,1980,false,English,U.S. Geological Survey,,,"iv, 16 p.",,,,,,,,,,,,,United States,California,Santa Barbara County,,"Barka Slough, San Antonio Creek valley",,,,,,"Mallory, Michael J.",,,1,4f4e4b15e4b07f02db6a50c9,,,,,,,,
https://pubs.usgs.gov/publication/ofr80736,23650,ofr80736,Report,USGS Numbered Series,,"Ground-water data, 1969-77, Vandenberg Air Force Base area, Santa Barbara County, California",Open-File Report,80-736,,,,2331-1258,0196-1497,,10.3133/ofr80736,-,,,1980,false,ENGLISH,"U.S. Geological Survey,",,,"iv, 53 p. ill., maps ;27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Lamb, Charles E.",,,0,4f4e4aafe4b07f02db66ca05,,,,,,,,
https://pubs.usgs.gov/publication/ofr80606,23441,ofr80606,Report,USGS Numbered Series,,"Diagenesis in the Monterey Formation examined laterally along the coast near Santa Barbara, California",Open-File Report,80-606,,,,2331-1258,0196-1497,,10.3133/ofr80606,-,,,1980,false,ENGLISH,"U.S. Geological Survey,",,,"xiv, 343 p. ill., maps ;28 cm.",,,,,,,,,,,,,,,,,,,,,,,"Isaacs, Caroline M.",,,1,4f4e4a9be4b07f02db65dbe8,,,,,,,,
https://pubs.usgs.gov/publication/70012320,70012320,70012320,Article,Journal Article,,"A comparison of artifical and natural slope failures: the Santa Barbara earthquake of August 13, 1978.",California Geology,,,,,,,,,,33,5,1980,false,English,,,,,Article,Journal Article,California Geology,102,105,4,,,,,,,,,,,,,,,,,"Harp, E. L.; Keefer, D. K.; Wilson, R. C.",,,0,5059e356e4b0c8380cd45f97,,,,,,,,
https://pubs.usgs.gov/publication/ofr79923,9632,ofr79923,Report,USGS Numbered Series,,"Ground-water monitoring at Santa Barbara, California: Phase 1— Coastal monitor-well installation and initial measurements",Open-File Report,79-923,,,,2331-1258,0196-1497,,10.3133/ofr79923,,,,1979,false,English,U.S. Geological Survey,,,"iv, 36 p.",,,,,,,,,,,,,United States,California,,Santa Barbara,,,,,,,"Hutchinson, C. B.",,,2,4f4e4aa8e4b07f02db667428,,,,,,,,
https://pubs.usgs.gov/publication/ofr79413,11181,ofr79413,Report,USGS Numbered Series,,"Water resources of the Santa Ynez Indian Reservation, Santa Barbara County, California",Open-File Report,79-413,,,,2331-1258,0196-1497,,10.3133/ofr79413,,,,1979,false,English,U.S. Geological Survey,,,"iv, 27 p.",,,,,,,,,,,,,United States,California,Santa Barbara County,,Santa Ynez Indian Reservation,,,,,,"Singer, John A.",,,1,4f4e49f4e4b07f02db5f0347,,,,,,,,
https://pubs.usgs.gov/publication/70010425,70010425,70010425,Article,Journal Article,,"Anomalously high uplift rates along the Ventura-Santa Barbara Coast, California-tectonic implications",Tectonophysics,,,,,,,,,,52,1-4,1979,false,English,,,,,Article,Journal Article,Tectonophysics,380,,,,,,,,,,,,,,,,,,,"Wehmiller, J.F.; Sarna-Wojcicki, A.; Yerkes, R.F.; Lajoie, K. R.",,,0,5059ec4ce4b0c8380cd491a8,,,,,,,,
https://pubs.usgs.gov/publication/mf933,59650,mf933,Report,USGS Numbered Series,,"Geologic map of Twitchell Dam and parts of Santa Maria and Tepusquet Canyon quadrangles, Santa Barbara County, California",Miscellaneous Field Studies Map,933,,,,,,,10.3133/mf933,-,,,1978,false,ENGLISH,,,,4 maps and 2 cross sections ;on 2 sheets 94 x 109 cm. and 95 x 127 cm. --,,,,,,,,,,,,,,,,,,,,24000,,,"Hall, C.A. Jr.",,,1,4f4e4b12e4b07f02db6a2b2c,,,,,,,,
https://pubs.usgs.gov/publication/ofr78906,17106,ofr78906,Report,USGS Numbered Series,,"Facts relating to Well No. 5, Lease OCS-P 0234, Pitas Point Unit area, and the earthquake of August 13, 1978, Santa Barbara Channel, California",Open-File Report,78-906,,,,2331-1258,0196-1497,,10.3133/ofr78906,,,,1978,false,English,U.S. Geological Survey,,,"vii, 59 p.",,,,,,67,,,,,,,United States,California,,,Pitas Point;Santa Barbara Channel,,,,,,"Wayland, Russell G.; Acuff, A. Dewey; McCulloh, Thane M.; Raleigh, C. Barry; Vedder, John G.; Yenne, Keith A.",,,1,4f4e49ffe4b07f02db5f7a44,,,,,,,,
https://pubs.usgs.gov/publication/cir797,4368,cir797,Report,USGS Numbered Series,,"A preliminary study of the Santa Barbara, California, earthquake of August 13, 1978, and its major aftershocks",Circular,797,,,,2330-5703,1067-084X,,10.3133/cir797,,,,1978,false,English,U.S. Geological Survey,,,"iii, 11 p.",,,,,,,,,,,,,United States,California,,Santa Barbara ,,,,,,,"Lee, William Hung Kan; Johnson, C.E.; Henyey, T.L.; Yerkes, R.L.",,,1,4f4e4b1ee4b07f02db6aa725,,,,,,,,
https://pubs.usgs.gov/publication/ofr78305,9224,ofr78305,Report,USGS Numbered Series,,"The marine geology of the eastern Santa Barbara Channel, with particular emphasis on the ground water basins offshore from the Oxnard Plain, Southern California",Open-File Report,78-305,,,,2331-1258,0196-1497,,10.3133/ofr78305,,,,1978,false,English,U.S. Geological Survey,,,"Report: viii, 104 p.; 2 Plates: 32.41 x 30.88 inches and 33.10 x 32.84 inches",,,,,,,,,,,,,United States,California,,,Santa Barbara Channel,,,,,,"Greene, H. Gary; Wolf, Stephen C.; Blom, Ken G.",,,1,4f4e4a81e4b07f02db64a308,,,,,,,,
https://pubs.usgs.gov/publication/ofr77302,9823,ofr77302,Report,USGS Numbered Series,,"Catalog of earthquakes in the Santa Barbara Channel area for the period January 1, 1972 to December 31, 1973",Open-File Report,77-302,,,,2331-1258,0196-1497,,10.3133/ofr77302,-,,,1977,false,ENGLISH,"U.S. Geological Survey,",,,"21 leaves :ill., 2 maps ;28 cm.; (22 p. - PGS)",,,,,,,,,,,,,,,,,,,,,,,"Kirkman, Sharon L.; Ellsworth, William L. ellsworth@usgs.gov",,,0,4f4e49f3e4b07f02db5ef8e4,,,,,,,,
https://pubs.usgs.gov/publication/ofr76183,20119,ofr76183,Report,USGS Numbered Series,,"Ground-water resources in the LOMPOC area, Santa Barbara County, California",Open-File Report,76-183,,,,2331-1258,0196-1497,,10.3133/ofr76183,-,,,1976,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey,",,,"vi, 78 p. :ill. ;26 cm.; (131 p. - PGS)",,,,,,,,,,,,,,,,,,,,,,,"Miller, G.A.",,,0,4f4e4afde4b07f02db696dd6,,,,,,,,
https://pubs.usgs.gov/publication/i974,65737,i974,Report,USGS Numbered Series,,"Map showing oil and gas fields, leased areas, and seeps in the Santa Barbara Channel Region",IMAP,974,NONE,,,,,,10.3133/i974,-,,,1975,false,ENGLISH,,,,1 map :col. ;46 x 61 cm.,,,,,,,,,,,,,,,,,,,,250000,,,"Water Resources Division, U.S. Geological Survey",,,1,4f4e4b15e4b07f02db6a48ec,,,,,,,,
