URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/wdrMDDE791,56849,wdrMDDE791,Report,USGS Numbered Series,"Water Resources Data Maryland and Delaware, Water Year 1979","Water resources data for Maryland and Delaware, water year 1979",Water Data Report,MD-DE-79-1,,,,,,,10.3133/wdrMDDE791,,,,1980,false,English,U.S. Geological Survey,,Maryland-Delaware-District of Columbia  Water Science Center,398 p.,,,,,,,,,,,,,United States,"Delaware, Maryland",,,,,,,,,"Water Resources Division, U.S. Geological Survey",,,1,4f4e49fae4b07f02db5f434e,,,,,,,,
https://pubs.usgs.gov/publication/70180029,70180029,70180029,Report,State or Local Government Series,,"Developing a state water plan: Ground-water conditions in Utah, spring of 1980",Cooperative Investigations Report,19,,,,,,,,,,,1980,false,English,"Utah Department of Natural Resources, Division of Water Resources",Salt Lake City,Utah Water Science Center,"vi, 72 p.",,,,,,78,,,,,,,United States,Utah,,,,,,,,,"Herbert, L. R.; Garrett, R. B.; Gerhart, E.C.; Steiger, Judy I. jsteiger@usgs.gov; Appel, Cynthia L.; Jensen, V.L.; Enright, Michael; Dubois, S.K.; Emett, D. C.; Guhman, A.I.; Neff, L.J.; Sultz, L.G.; Sandberg, G. W.",,,1,5887248ae4b08aa8f945abf4,,,,,,,,
https://pubs.usgs.gov/publication/70179890,70179890,70179890,Report,State or Local Government Series,,Bibliography of U.S. Geological Survey water-resources reports for Utah,Utah Division of Water Rights Information Bulletin,27,,,,,,,,,,,1980,false,English,Utah Department of Natural Resources,"Salt Lake City, UT",Utah Water Science Center,75 p.,,,,,,76,,,,,,,United States,Utah,,,,,,,,,,,"LaPray, Barbara A.; Hamblin, Linda S.",1,5881def9e4b01192927d9fef,,,,,,,,
https://pubs.usgs.gov/publication/70179787,70179787,70179787,Report,State or Local Government Series,,"Utah water use data: Public water supplies, 1960-1978",Utah Division of Water Rights Water-Use Report,1,,,,,,,,,,,1980,false,English,"Utah Department of Natural Resources, Division of Water Rights","Salt Lake City, UT",Utah Water Science Center,"vi, 250 p.",,,,,,260,,,,,,,United States,Utah,,,,,,,,,"Mills, David; Jibson, Ronald; Riley, James; Hooper, David; Schwarting, Richard",,,1,587f3df9e4b0d96de256459f,,,,,,,,
https://pubs.usgs.gov/publication/70162227,70162227,70162227,Article,Journal Article,,Modified fyke net for the capture and retention of salmon smolts in large rivers,Progressive Fish-Culturist,,,,,,,,10.1577/1548-8659(1980)42[235:MFNFTC]2.0.CO;2,,42,4,1980,false,English," Bureau of Fisheries, U.S. Department of Commerce",,Western Fisheries Research Center,3 p.,,,,235,237,3,,,,,,,,,,,,,,,,,"Davis, S.K.; Congleton, J.L.; Tyler, R.W.",,,0,569f6c45e4b0961cf27fd1b1,,,,,,,,
https://pubs.usgs.gov/publication/70162222,70162222,70162222,Article,Journal Article,," Concentrations of leucine aminoaphthylamidase (LAN) and soluble protein in tissues of rainbow trout, <i>Salmo gairdneri</i>",Canadian Journal of Fisheries and Aquatic Sciences,,,,,,,,10.1139/f80-013,,37,1,1980,false,English,Canadian Science Publishing ,,Western Fisheries Research Center,5 p.,,,,116,120,5,,,,,,,,,,,,,,,,,"Bouck, G.R.",,,0,569f6c3de4b0961cf27fd17d,,,,,,,,
https://pubs.usgs.gov/publication/70162232,70162232,70162232,Article,Journal Article,,Electroshocking in tropical insular streams,Progressive Fish-Culturist,,,,,,,,10.1577/1548-8659(1980)42[57:EITIS]2.0.CO;2,,42,1,1980,false,English," Bureau of Fisheries, U.S. Department of Commerce",,Western Fisheries Research Center,2 p.,,,,57,58,2,,,,,,,,,,,,,,,,,"Maciolek, J. A.; Timbol, A.S.",,,0,569f6c42e4b0961cf27fd19c,,,,,,,,
https://pubs.usgs.gov/publication/70157466,70157466,70157466,Report,State or Local Government Series,,"Ground-water resources and geology of Washington and Ozaukee Counties, Wisconsin",Wisconsin Geological & Natural History Survey Information Circular,38,,,,,,,,,,,1980,false,English,Wisconsin Geological & Natural History Survey,,,"iv, 38 p.",,,,,,43,,,,,,,United States,Wisconsin,"Ozaukee County, Washington County",,,,,,N,N,"Young, H. L.; Batten, W. G.",,,1,56051ec9e4b058f706e512d9,,,,,,,,
https://pubs.usgs.gov/publication/70047613,70047613,70047613,Report,State or Local Government Series,,"Ground-water data for the Salt Basin, Eagle Flat, Red Light Draw, Green River Valley and Presidio Bolson in westernmost Texas",Report,259,,,,,,,,,,,1980,false,English,Texas Department of Water Resources,"San Antonio, TX",Texas Water Science Center,"iii, 97 p.",,,,,,,,,,,,,United States,Texas,,,,,,,N,N,"White, Donald E.; Gates, Joseph S.; Smith, James T.; Fry, Bonnie J.",,,1,520ca6e5e4b081fa6136d3ea,,,,,,,,
https://pubs.usgs.gov/publication/70047612,70047612,70047612,Report,State or Local Government Series,,"Development of Ground Water in the Houston District, Texas, 1970-1974",Report,241,,,,,,,,,,,1980,false,English,Texas Water Development Board,"San Antonio, TX",Texas Water Science Center,"v, 49 p.",,,,,,,,,,,,,United States,Texas,Houston County,,,,,,N,N,"Gabrysch, R.K.",,,1,520ca6e3e4b081fa6136d3d4,,,,,,,,
