,ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type
0,70038413,258,,,34.400833,-118.825556,"Near Piru, California","['NE}{NE}{SW, sec. 25, T.4 N., R.19 W.']",Hopper Creek,Ventura County,"10/01/1930-09/30/1936, 10/01/1937-current",Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Water_Level': 'feet', 'Cumulative_Volume': 'acre-feet'}",Stream Discharge
1,2513,289,33.7869,-118.2813,,,"Torrance-Santa Monica area, T. 2 S., R. 13 W.","['T. 2 S., R. 13 W.']",Well 618 (Redondo),Los Angeles,,,['Pumping data in gallons'],Groundwater
2,2513,289,34.027,-118.4953,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",Well 46 (Santa Monica),Los Angeles,,,['Water measurements'],Groundwater
3,2513,289,34.027,-118.4953,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",Well 577 (Santa Monica),Los Angeles,,,['Water measurements'],Groundwater
4,199,482,,,40.202778,-122.118056,"1.8 miles upstream from diversion dam of Los Molinos Mutual Water Co. 6, 5 miles east of Red Bluff",,ANTELOPE CREEK NEAR RED BLUFF,Tehama County,10/06/1965-09/01/1966,Monthly (from October 1965 to September 1966),"{'pH': '', 'Specific_conductance': 'micro-mhos at 25°C', 'Sodium_adsorption_ratio': '', 'Hardness_as_CaCO3_Non_carbonate': 'mg/L', 'Hardness_as_CaCO3_Calcium_Magnesium': 'mg/L', 'Dissolved_solids_Tons_per_day': 'tons/day', 'Dissolved_solids_Tons_per_acre-foot': 'tons/acre-foot', 'Dissolved_solids_Parts_per_million': 'ppm', 'Boron': 'mg/L', 'Nitrate_Nitrogen': 'mg/L', 'Fluoride': 'mg/L', 'Chloride': 'mg/L', 'Sulfate': 'mg/L', 'Carbonate': 'mg/L', 'Bicarbonate': 'mg/L', 'Potassium': 'mg/L', 'Sodium': 'mg/L', 'Magnesium': 'mg/L', 'Calcium': 'mg/L', 'Iron': 'mg/L', 'Silica': 'mg/L', 'Mean_discharge': 'cfs'}",Stream Discharge
5,56807,296,,,38.6966,-122.8367,"Near Cloverdale, CA",,DRY CREEK NEAR CLOVERDALE,Sonoma County,10/01/1977-09/30/1978,Daily,Celsius (°C),Stream Discharge
6,56845,123,,,39.386944,-120.094444,"Near Truckee, CA","['NE&NW4 sec. 28', 'T.18 N., R.12 E.']",Little Truckee River Below Boca Dam,Nevada County,"{'Start_Date': '04/01/1890', 'End_Date': '09/30/Current Year'}",Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Water Height': 'feet (ft)', 'Flow Volume': 'acre-feet (acre-ft)'}",Stream Discharge
7,70038673,88,,,33.805,-116.558333,Left bank 2.2 miles southwest of Palm Springs and 7 miles upstream from mouth.,"['T4 S., R4 E., sec. 22']",TAHQUITZ CREEK NEAR PALM SPRINGS,Riverside County,10/01/1947-09/30/1968,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Water Year Total': 'acre-feet'}",Stream Discharge
8,1166,32,,,40.7667,-123.4167,"Weaverville, California",[],Weaverville Precipitation,Trinity County,1869-04/1885-03,Monthly,inches,Precipitation
9,1166,32,,,39.5833,-122.0,"Jacinto, California",[],Jacinto Precipitation,Glenn County,1892-09/1901-06,Monthly,inches,Precipitation
10,29192,83,37.9062,-122.0565,,,"Walnut Creek, California",[],Walnut Creek at Walnut Creek,Alameda County,1957-01-01-1966-12-31,Annual,"{'Water_Discharge': 'ft3/s', 'Sediment_Discharge_Suspended': 'ton/d', 'Sediment_Discharge_Sand': 'ton/d', 'Sediment_Yield': 'ton/mi²'}",Stream Discharge
11,29192,83,38.4997,-122.4926,,,"Near St. Helena, California",[],Napa River near St. Helena,Napa County,1909-01-01-1966-12-31,Annual,"{'Water_Discharge': 'ft3/s', 'Suspended_Sand': 'ton/d', 'Suspended_Sediment': 'ton/d', 'Total_Sediment': 'ton/d', 'Sediment_Yield': 'ton/mi²'}",Stream Discharge
12,29192,83,38.4667,-122.875,,,"Boyes Hot Springs, California",[],Sonoma Creek at Boyes Hot Springs,Sonoma County,1909-01-01-1966-12-31,Annual,"{'Water_Discharge': 'ft3/s', 'Suspended_Sand': 'ton/d', 'Suspended_Sediment': 'ton/d', 'Total_Sediment': 'ton/d', 'Sediment_Yield': 'ton/mi²'}",Stream Discharge
13,499,193,,,38.5,-120.2,"near West Point, Calif.","['SE1 sec. 33, T. 8 N. R. 16 E.']",Salt Springs Reservoir,Calaveras County,10/01/1935-09/30/1936,daily,acre-feet,Reservoir
14,52982,46,,,34.494444,-119.829167,"About 1.0 mile above point of diversion, near Strawberry flats",[],Sawyer Estate Spring,Kern County,10/12/1949-04/20/1950,Variable intervals (based on provided dates),"{'Discharge': ['second-feet', 'gallons per minute'], 'Temperature': ['°F']}",Springs
15,1585,72,34.0222,-117.963,,,"Near Villa Park, California","['T. 4 S., R. 9 W., sec. 13']",SERRANO & CARPENTER CANAL,LOS ANGELES COUNTY,10/01/1930-09/30/1931,Daily,Second-feet,Irrigation
16,56412,289,,,38.358056,-121.342778,"Lat 38°21'29"" long 121°20'34""","['T.6 N., R.6 E., sec .20']",COSUMNES RIVER,Sacramento,10/1971-09/1972,Daily,cubic feet per second (cfs),Stream Discharge
17,667,382,,,37.873611,-121.726389,"Los Meganos Grant, right bank 40 ft downstream from highway bridge on Marsh Creek road and 5.0 miles west of Byron, Contra Costa County",[],Marsh Creek,Contra Costa County,02/01/1953-09/30/1954,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet'}",Stream Discharge
18,70038413,288,,,34.648611,-120.183333,"Near Buellton, California",[],Zaca Creek,Santa Barbara County,09/1963-09/1969,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Area': 'square miles (sq mi)', 'Volume': 'acre-feet'}",Stream Discharge
