,ID,PAGE_NUMBER,Latitude,Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type
0,70038413,258,34.400833,-118.825556,"{'Latitude': 34.400833, 'Longitude': -118.825556}","['[NE}NE}SW} sec. 25, T.4 N., R.19 W.']",Hopper Creek,Ventura County,10/1968-09/1969,Daily,cubic feet per second (cfs),Stream discharge
1,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 13 W.']",Well 618,Los Angeles County,,,[],Groundwater well
2,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 46,Los Angeles County,,,[],Groundwater well
3,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 14,Los Angeles County,,,[],Groundwater well
4,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 49,Los Angeles County,,,[],Groundwater well
5,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 47,Los Angeles County,,,[],Groundwater well
6,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 48,Los Angeles County,,,[],Groundwater well
7,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 52,Los Angeles County,,,[],Groundwater well
8,2513,289,,,Torrance-Santa Monica area,"['T. 2 S., R. 14 W.']",Well 577,Los Angeles County,,,[],Groundwater well
9,199,482,,,"{'Latitude': 40.202778, 'Longitude': -122.118056, 'Description': '1.8 miles upstream from diversion dam of Los Molinos Mutual Water Co., 6.5 miles east of Red Bluff, and 9.7 miles upstream from the mouth.'}",[],ANTELOPE CREEK NEAR RED BLUFF,Tehama County,"{'Start_Date': '10/06/1965', 'End_Date': '09/01/1966'}",Variable (dates provided in table),"{'pH': '', 'Specific Conductance': 'micro-mhos at 25°C', 'Sodium Absorption Ratio': '', 'Hardness as CaCO3': 'mg/L', 'Dissolved Solids': ['Tons per day', 'Tons per acre-foot', 'Parts per million'], 'Boron': 'ppm', 'Nitrate': 'ppm', 'Fluoride': '', 'Chloride': 'ppm', 'Sulfate': 'ppm', 'Carbonate': 'mg/L', 'Bicarbonate': 'mg/L', 'Potassium': 'ppm', 'Sodium': 'ppm', 'Magnesium': 'ppm', 'Calcium': 'ppm', 'Silica': 'ppm'}",Stream discharge
10,56807,296,38.8056,-123.0919,"Near Cloverdale, California",[],DRY CREEK NEAR CLOVERDALE,Sonoma County,05/01/1965-Current Year,Daily,Degrees Celsius (°C),Stream discharge
11,56845,123,,,"{'Latitude': 39.387, 'Longitude': -120.094}","['NE&NW4 sec. 28, T.18 N., R.12 E.']",Little Truckee River Below Boca Dam,Nevada County,January 1939 to current year,daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Volume': 'acre-feet (acre-ft)'}",Stream discharge
