water_type_final,county,n_tables,n_measurements
Groundwater,Alameda,10,207.0
Groundwater,Alameda County,38,679.0
Groundwater,Alameda County (inferred from well location),2,32.0
Groundwater,"Alameda County, California",3,50.0
Groundwater,"Alameda County, San Mateo County, Santa Clara County",1,18.0
Groundwater,Alpine County,18,222.0
Groundwater,"Alpine County, California",1,17.0
Groundwater,"Alpine County, Nevada; Mono County, California",1,3.0
Groundwater,Alvord County,1,12.0
Groundwater,Amador County,30,524.0
Groundwater,Amador County (Mokelumne area),1,75.0
Groundwater,Amador County (inference based on the typical well numbering system in California),1,26.0
Groundwater,Amador County (inferred),3,42.0
Groundwater,"Amador County, California",3,33.0
Groundwater,"Amador County, El Dorado County",1,22.0
Groundwater,Antelope Valley,3,113.0
Groundwater,"Antelope Valley region, California",1,35.0
Groundwater,Apache County,2,8.0
Groundwater,Arizona,1,16.0
Groundwater,BISHOP RANCH CO.,1,14.0
Groundwater,"Baja California, Mexico (near Salton Trough)",1,23.0
Groundwater,Bakersfield,1,17.0
Groundwater,"Barstow, California",1,56.0
Groundwater,Based on context clues from the State of California documents.,1,23.0
Groundwater,"Based on context, likely California county where similar depths are found.",2,7.0
Groundwater,"Based on document context and common geographical knowledge, potentially in Northern California.",2,33.0
Groundwater,"Based on general well distribution in California, potentially multiple counties.",1,41.0
Groundwater,"Based on industrial context, likely in a developed or urban area.",3,11.0
Groundwater,"Based on location inference, likely in California's Sierra Nevada region or Central Valley due to common well drilling activities.",4,10.0
Groundwater,"Based on surrounding geological data, likely in a county with similar geology such as Kern County",1,20.0
Groundwater,"Based on the townships, likely in California counties such as Los Angeles or San Bernardino.",1,14.0
Groundwater,"Based on typical groundwater extraction locations in California, a county such as Kern or Tulare could be inferred.",1,18.0
Groundwater,"Based on typical locations for chemical analyses in California, potential counties include Fresno or Kern.",1,33.0
Groundwater,"Based on typical wells in California, likely inferred from regional geological surveys",1,9.0
Groundwater,"Based on well number, likely in California",1,23.0
Groundwater,Beach County,1,17.0
Groundwater,"Bernalillo County, New Mexico",2,7.0
Groundwater,Bishop Ranch Co.,1,13.0
Groundwater,Bolsa,1,10.0
Groundwater,"Boron, California",1,12.0
Groundwater,Brooklyn,2,31.0
Groundwater,Bunker Hill Basin,1,29.0
Groundwater,Butte,1,6.0
Groundwater,Butte County,21,324.0
Groundwater,"Butte County, California",2,32.0
Groundwater,"Butte County, Glenn County",1,21.0
Groundwater,Butte Valley,3,38.0
Groundwater,"Butte Valley, Calif.",1,20.0
