doc_id,page_number,table_number,water_type_final,county_spatial,actual_county,inferred_county,llm_ca_counties,consistency
15,12,1,Stream Discharge,Merced,Fresno County,Fresno County,fresno,mismatch
15,12,2,Stream Discharge,Merced,Fresno County,Fresno County,fresno,mismatch
15,14,1,Stream Discharge,Mariposa,Mariposa County,,mariposa,match
15,16,1,Stream Discharge,,Tuolumne County,,tuolumne,no_spatial
15,16,2,Stream Discharge,,Tuolumne County,,tuolumne,no_spatial
15,17,1,Stream Discharge,Sacramento,,Multiple counties within the Sacramento River basin region in California,sacramento,match
15,20,1,Stream Discharge,Amador,Calaveras County,,calaveras,mismatch
15,23,1,Stream Discharge,El Dorado,El Dorado County,,el dorado,match
15,24,1,Not Water Related,Lassen,Lassen County,Lassen County,lassen,match
15,27,1,Stream Discharge,Tulare,Tulare County,,tulare,match
15,27,2,Stream Discharge,Tulare,Tulare County,,tulare,match
15,28,1,Stream Discharge,Kern,Siskiyou County,,siskiyou,mismatch
15,28,2,Stream Discharge,Kern,Siskiyou County,,siskiyou,mismatch
15,29,1,Stream Discharge,Tulare,Glen County,,,llm_no_ca
15,29,2,Stream Discharge,Tulare,Glen County,,,llm_no_ca
15,29,3,Stream Discharge,Tulare,Glen County,,,llm_no_ca
15,29,4,Stream Discharge,Tulare,Glen County,,,llm_no_ca
15,30,1,Not Water Related,Glenn,Tehama County,,tehama,mismatch
15,30,2,Stream Discharge,Glenn,Tehama County,,tehama,mismatch
15,32,1,Not Water Related,,Tulare County,,tulare,no_spatial
15,32,2,Irrigation,,Tulare County,,tulare,no_spatial
15,32,3,Stream Discharge,,Tulare County,,tulare,no_spatial
15,33,1,Stream Discharge,Kern,Butte County,,butte,mismatch
15,33,2,Stream Discharge,Kern,Butte County,,butte,mismatch
15,34,1,Stream Discharge,Kern,Butte County,Butte County,butte,mismatch
15,34,2,Not Water Related,Kern,Butte County,Butte County,butte,mismatch
15,35,1,Stream Discharge,Tulare,Tulare,Tulare,tulare,match
15,35,2,Stream Discharge,Tulare,Tulare,Tulare,tulare,match
15,35,3,Stream Discharge,Tulare,Tulare,Tulare,tulare,match
15,37,1,Stream Discharge,Kern,"Kern County, California",,kern,match
15,37,2,Stream Discharge,Kern,"Kern County, California",,kern,match
15,37,3,Stream Discharge,Kern,"Kern County, California",,kern,match
15,38,1,Stream Discharge,Kern,Tulare County,Tulare County,tulare,mismatch
15,38,2,Stream Discharge,Kern,Tulare County,Tulare County,tulare,mismatch
15,39,1,Stream Discharge,Kern,Kern County,,kern,match
