ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,Actual_County,Inferred_County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms,Watersources,Actual_Latitude_Scotia,Actual_Longitude_Scotia,Inferred_Latitude_Scotia,Inferred_Longitude_Scotia,Dates_Of_Recording
70038399,445,,,39.13472,-120.94833,"NEASE sec.22, T.15 N., R.9 E.","['T.15 N., R.9 E., SEC. 22']",Rollins Reservoir,Placer County,,12/1964-09/1966,Daily,acre-feet,Reservoir,"['Rollins Reservoir', 'Bear River', 'Nevada Irrigation District', 'earthfill dam', 'usable capacity']",,,,,,
553,177,,,35.933333,-118.483333,"NE sec. 14 T. 23 S., R. 32 E., 3 miles upstream from Salmon Creek and 15 miles north of Kernville, Calif.","['T. 23 S., R. 32 E., NE sec. 14']",Kern River near Kernville,Tehama County,,01/01/1912-09/30/1942,Daily,second-feet,Stream Discharge,"['stream discharge', 'flow', 'Kern River']",,,,,,
455,159,,,,,"Near La Grange, California",['3S 14E NE 1/4 sec. 3'],TUOLUMNE RIVER ABOVE LA GRANGE DAM,Tuolumne County,,10/01/1929-09/30/1930,Daily,second-feet for discharge and acre-feet for volume off-take,Stream Discharge,"['stream discharge', 'daily and monthly discharge', 'maximum discharge', 'minimum discharge']",,,,,,
251,43,,,32.81666667,-114.5,"Near Yuma, Arizona","['T. 15 S., R. 23 E.', 'SE1 sec. 10, T. 16 S., R. 22 E.']",Yuma Main Canal,Imperial County,Imperial County,03/14/1910-09/1938,Daily to Monthly,"{'Discharge': 'second-feet', 'Runoff': ['Second-foot-days', 'Acre-feet']}",Stream Discharge,"['Yuma Main Canal', 'Colorado River', 'Laguna Dam', 'stream gaging']",,,,,,
2850,45,38.5,-122.0,,,Coyote Valley,,Putah Creek,,Solano County,,,"['feet', 'gpm']",Stream Discharge,"['Putah Creek', 'flood-plain', 'channel deposits', 'alluvial fan']",,,,,,
2850,45,38.5,-122.0,,,"Coyote Valley, near Putah Creek",,Well 11/6-19P1,,Solano County,,,['gpm'],Groundwater,"['wells', 'gravel beds', 'old channels', 'discharge']",,,,,,
2850,45,38.5,-122.0,,,"Coyote Valley, on the alluvial plain",,Well 11/6-30B1,,Solano County,,,"['feet', 'gpm']",Groundwater,"['alluvium', 'clay and gravel', 'gravel beds', 'discharge']",,,,,,
2850,45,38.5,-122.0,,,"Coyote Valley, on the alluvial plain",,Well 11/6-30B2,,Solano County,,,['feet'],Groundwater,"['alluvium', 'soil', 'gravel', 'clay']",,,,,,
24329,131,38.6969,-121.7672,,,"Lucerne Valley, CA","['4N/1E-9A', '4N/1E-9N', '4N/1E-12P2', '4N/1E-21D']",Lucerne Valloy,,Yolo County,10/09/1952-06/16/1950,Approximately 5 years between sequential measurements,"{'Constituents': 'parts per million (ppm)', 'Hardness': 'unknown unit', 'Specific Conductance': 'microsiemens/cm at 25°C', 'Depth': 'feet'}",Groundwater,"['SiO2', 'Ca', 'Mg', 'Na', 'K', 'CO3', 'HC32', 'SO4', 'Cl', 'NO3', 'F', 'B', 'Dis. sol.', 'Hardness', 'pH']",,,,,,
1641,184,,,36.216111,-118.871667,"Near Patterson Mountain, California",['[Not Available]'],Teakettle Creek,Tulare County,,10/01/1968-09/30/1969,Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Continued Discharge', 'Cubic Feet per Second', 'Water Year']",,,,,,
2292,95,35.3333,-118.5167,,,Coordinates suggest a location within California state boundaries,['B -1'],W. G. Jones,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",1880-1880,Single measurement date given: 1880,Inches (bore size),Groundwater,"['Bored', 'Domestic; stock']",,,,,,
2292,95,35.2167,-118.75,,,Coordinates suggest a location within California state boundaries,"['B -1', 'C -1']",Earnest Ward,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",1884-1898,"Multiple measurement dates given: 1884, 1898",Inches (bore size),"['Groundwater', 'Not Water Related']","['Bored', 'Hand', 'Domestic']",,,,,,
2292,95,35.3333,-118.6667,,,Coordinates suggest a location within California state boundaries,['C -1'],Peter Ulrich,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",1896-1896,Single measurement date given: 1896,Inches (hydraulic bore size),Groundwater,"['Hydraulic', 'Domestic']",,,,,,
2292,95,35.3333,-118.5167,,,Coordinates suggest a location within California state boundaries,"['B -1', 'C -1']",G. B. Grove,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",1879-1896,"Multiple measurement dates given: 1879, 1896",Inches (bore size),"['Groundwater', 'Irrigation']","['Bored', 'Flows into pit']",,,,,,
2292,95,35.3333,-118.6667,,,Coordinates suggest a location within California state boundaries,['C -1'],J. H. Wertz,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",Not specified,Single measurement date not specified,Inches (hydraulic bore size),Groundwater,['Hydraulic'],,,,,,
2292,95,35.3333,-118.6667,,,Coordinates suggest a location within California state boundaries,['C -1'],Mr. Head,Not specified in the document,"Based on typical county regions for similar coordinates, possibly Kern County",Not specified,Single measurement date not specified,Inches (bore size),"['Groundwater', 'Irrigation']",['Bored'],,,,,,
489,323,,,38.7667,-122.5167,"near Guenoc, Calif.","['T. 11 N., R. B W., sec. 22']",Putah Creek,Lake County,,10/01/1934-09/30/1935,Daily,second-feet,Stream Discharge,"['Putah Creek', 'water-stage recorder', 'discharge']",,,,,,
1609,309,,,38.9167,-121.0,"near Auburn, Calif.","['NW1 sec. 5, T. 12 N. R. 9 E.']",Middle Fork of American River,Placer County,,10/01/1939-09/30/1940,Daily,second-feet,Stream Discharge,"['water-stage recorder', 'discharge', 'second-feet', 'stream discharge']",,,,,,
70038397,190,40.1,-122.2,,,"1.8 miles upstream from diversion dam of Los Molinos Mutual Water Co., 6.5 miles east of Red Bluff, Tehama County, and 9.7 miles upstream from mouth.",[],ANTELOPE CREEK NEAR RED BLUFF,Tehama County,,10/07/1964-09/13/1965,Variable,"{'Discharge': 'cfs', 'Chemical_Concentrations': 'parts per million', 'Dissolved_Solids': ['Parts per million', 'Tons per acre-foot', 'Tons per day'], 'Hardness': 'as CaCO3'}",Stream Discharge,"['Mean discharge (cfs)', 'Chemical analyses', 'Silica', 'Iron', 'Calcium', 'Magnesium', 'Sodium', 'Potassium', 'Bicarbonate', 'Carbonate', 'Sulfate', 'Chloride', 'Fluoride', 'Nitrate', 'Boron', 'Dissolved solids', 'Hardness as CaCO3']",,,,,,
57549,97,32.8292,-114.6133,,,"Colorado River Main Stem, AZ-CA Border Region",[],"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",,"Imperial County, CA",10/01/1976-09/30/1977,Monthly (varies),"{'Organic Nitrogen (N)': 'mg/L', 'KJFL-Dahl Nitrogen (N)': 'mg/L', 'Total Nitrogen (N)': 'mg/L', 'Total Phosphorus (P)': 'mg/L', 'Dissolved Phosphorus (P)': 'mg/L', 'Dissolved Ortho. Phosphorus (P)': 'mg/L'}",Stream Discharge,"['Chemical Analyses', 'Water Year', 'Nitrogen (N)', 'Phosphorus (P)']",,,,,,
70038681,328,,,40.024722,-122.508611,"Lat 40°01'29"", long 122°30'31"" in SENW1 sec.14, T.25 N., R.6 W.","['T.25 N., R.6 W., sec.14']",Elder Creek,Tehama County,,10/01/1972-09/30/1973,Daily,Cubic feet per second (cfs),Stream Discharge,"['stream discharge', 'monthly discharge', 'peak discharge']",,,,,,
56417,257,,,38.5238889,-120.2077778,"SE% sec. 21, T.8 N., R.16 E. Eldorado National Forest, on right bank 1.8 mi (2.9 km) north of Salt Springs Dam, 3.4 mi (5.5 km) upstream from mouth, and 6.3 mi (10.1 km) southwest of Mokelumne Peak","['T.8 N., R.16 E., sec. 21']",Cole Creek Near Salt Springs Dam,Amador County,Amador County,"1927-11/1942, October 1943 to current year",Daily,"{'Discharge': 'ft3/s, m³/s', 'Gage_Height': 'ft, m'}",Stream Discharge,"['Gage', 'Discharge', 'Stream Flow']",,,,,,
716,421,,,37.713333,-120.403889,"near La Grange, Calif.","['SW1 sec 35, T.2 S., R.14 E.']",Don Pedro Reservoir,Tuolumne County,,09/1923-09/1959,Monthly,"{'Elevation': 'feet', 'Contents': 'acre-feet'}",Reservoir,"['Don Pedro Reservoir', 'Tuolumne River', 'Turlock and Modesto Irrigation Districts', 'powerplant', 'La Grange Dam', 'Irrigation']",,,,,,
70038673,401,,,37.961944,-122.359167,"San Pablo Grant, on left bank 200 ft downstream from Southern Pacific Railway bridge at east city limits of Richmond",[],Wildcat Creek at Richmond,Contra Costa County,,10/01/1967-09/30/1968,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Cumulative_Acre-Feet': 'ac-ft'}",Stream Discharge,"['Discharge', 'Cubic Feet per Second (cfs)', 'Gage Height', 'Maximum Discharge']",,,,,,
3217,210,,,,,"Near Fillmore, Calif.",[],Sespe Creek,Ventura County,,1911-1949,Yearly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Momentary maximum', 'Minimum day', 'Mean', 'Runoff', 'Water year ending Sept. 30']",,,,,,
3217,210,,,34.392778,-119.087222,"Near Santa Paula, Calif.","['NW-SW-SW1 sec. 27, T. 4 N. R. 21 W.']",Santa Paula Creek below Sisar Creek,Ventura County,,1912-1913,Monthly and yearly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Staff gage', 'Maximum discharge observed', 'Minimum daily']",,,,,,
3217,210,,,34.395556,-119.075555,"Near Santa Paula, Calif.","['NW-SW-SW1 sec. 27, T. 4 N. R. 21 W.']","Santa Paula Creek near Santa Paula, Calif.",Ventura County,,1927-1950,Monthly and yearly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': None}",Stream Discharge,"['Water-stage recorder', 'Average discharge', 'Maximum discharge']",,,,,,
38962,21,37.8,-119.4,,,Sierra Nevada near Yosemite National Park,[],Ponderosa pine at Bass Lake,,Tuolumne County,1940-01-01 to 1945-12-31,Annual,inches,Precipitation,"['precipitation', 'natural water loss', 'soil moisture', 'recoverable water']",,,,,,
38962,21,37.75,-119.35,,,"Sierra Nevada, about 10 miles south of Bass Lake",[],Woodland chaparral in the North Fork area,,Tuolumne County,1936-01-01 to 1940-12-31,Annual,inches,Precipitation,"['precipitation', 'natural water loss', 'soil moisture', 'recoverable water']",,,,,,
38962,21,41.15,-111.97,,,Wasatch Mountains of northern Utah,[],Aspen-herbaceous covered plot in northern Utah,,Weber County,1947-01-01 to 1949-12-31,Annual,inches,Precipitation,"['precipitation', 'natural water loss', 'recoverable water']",,,,,,
56416,135,34.1081,-117.2865,,,"San Bernardino, California",[],SAN BERNARDINO WATER QUALITY CONTROL PLANT,San Bernardino County,San Bernardino County,10/01/1972-05/31/1973,Daily,MICROMHOS/CM at 25°C,Water Quality,"['SPECIFIC CONDUCTANCE', 'WATER QUALITY CONTROL PLANT']",,,,,,
56418,584,,,40.8603,-124.0826,"Arcata, California",[],"MAD RIVER NEAR ARCATA, CALIF.",Humboldt,Humboldt,10/01/1973-09/30/1974,Daily,"{'Mean Discharge': 'CFS (Cubic Feet per Second)', 'Concentration': 'MG/L (Milligrams per Liter)', 'Sediment Discharge': 'TONS/DAY'}",Stream Discharge,"['SUSPENDED-SEDIMENT DISCHARGE', 'MEAN DISCHARGE', 'CONCENTRATION', 'SEDIENT DISCHARGE']",,,,,,
2246,156,32.9833,-117.2575,,,"Near Del Mar, Calif.","['NE 1/2 sec. 17', 'T. 12 S., R. 2 E.']",San Dieguito River,San Diego County,,02/01/1912-10/31/1914,Monthly,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}",Stream Discharge,"['Monthly discharge', 'Run-off', 'Maximum', 'Minimum', 'Mean']",,,,,,
2246,156,33.0,-117.1,,,"Near Mesa Grande, Calif.","['NE 1/2 sec. 17', 'T. 12 S., R. 2 E.']",Black Canyon Creek,San Diego County,,02/14/1913-09/30/1918,"Various dates from February 14, 1913 to September 30, 1918","{'Gage height': 'Feet', 'Discharge': 'second-feet'}",Stream Discharge,"['Gage height', 'Discharge measurements', 'Rating curve', 'Stage-discharge relation']",,,,,,
51831,19,,,34.505556,-119.786111,Painted Cave,[],Sam Nuckcls Spring,"Kern County, California",,09/25/1953-06/18/1954,Variable (based on recorded dates),"{'Discharge': ['cubic feet per second', 'gallons per minute'], 'Temperature': '°F'}",Springs,"['springs', 'discharge', 'temperature']",,,,,,
1640,382,38.691,-123.106,38.691,-123.106,"Near Cloverdale, California",[],DRY CREEK NEAR CLOVERDALE,Sonoma County,Sonoma County,10/01/1966-09/30/1968,Daily,Cubic Feet per Second (CFS),Stream Discharge,"['Discharge', 'Cubic Feet per Second', 'Stream']",,,,,,
70232920,75,,,,,Site of trench A and B in California,[],Groundwater Seepage,,"Near Trench A site, County inferred from regional context","Date inferred from context, possibly around or after 1906",,,Groundwater,"['ground-water seepage', 'trench A', 'caving', 'fault']",,,,,,
3144,39,,,31.7461,-110.5669,"near St. Johns, Arizona",[],Lyman Canal below Lyman Reservoir,Pima County,,"10/01/1963-09/30/1964, 10/01/1964-09/30/1965",Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Discharge', 'Cubic Feet per Second']",,,,,,
70038399,521,,,38.727778,-122.104167,"Lat 38°43'40"", long 122°06'15"", in Canada de Capay Grant, on right bank 1.8 miles upstream from Clear Lake Water Co.'s diversion dam, 3.2 miles northwest of Capay, and 5.4 miles northwest of Esparto.",,Cache Creek,Yolo County,,05/01/1942-09/30/1966,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Water Volume': 'acre-feet'}",Stream Discharge,"['Cache Creek', 'discharge', 'water-stage recorder', 'irrigation', 'chemical analyses']",,,,,,
431,127,37.6784,-121.7615,,,"near Livermore, Calif.",[],Arroyo Las Positas,Alameda County,Alameda County,01/01/1926-09/30/1926,Monthly,second-feet for discharge; acre-feet for run-off,Stream Discharge,"['Monthly discharge', 'Arroyo Las Positas', 'second-feet']",,,,,,
431,127,37.6784,-121.7615,,,"At Cresta Blanca winery, 41/2 miles south of Livermore, Alameda County",[],Arroyo Del Valle,Alameda County,Alameda County,01/01/1926-09/30/1926,Daily,second-feet for discharge,Stream Discharge,"['Daily discharge', 'Arroyo Del Valle', 'second-feet']",,,,,,
