,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,RESOLUTION,UNITS_USED,WATER_TYPE,CATEGORY
0,56394,282,-34.1234,150.5678,"T 2 N/S, R 3 E/W, S NE 1/2",NA,City Centre,Victoria,01/01/2020-31/12/2020,Yearly,Litres per second,Groundwater,
1,56394,282,-33.9012,151.2345,"T 1 S/N, R 2 W/E, S NW 3/4",NA,Beachside Park,New South Wales,01/02/2020-28/02/2020,Monthly,Millilitres per minute,Stream,
2,56394,282,-33.6789,150.9012,"T 3 N/S, R 1 E/W, S SW 1/4",NA,Waterfront Promenade,Victoria,01/03/2020-31/03/2020,Daily,Cubic metres per hour,Precipitation,
3,2846,29,NA,NA,NA,San Gorgonio Pass subbasin,Palm Desert,NA,1948-01-01-1967-12-31,yearly,acre-feet,Groundwater,
4,2846,29,NA,NA,NA,"Snow Creek, Falls Creek, Chino Canyon, Palm Canyon, Deep Creek (Palm Desert), and Miscellaneous",Palm Desert,NA,1948-01-01-1967-12-31,yearly,acre-feet,Groundwater,
5,2846,29,NA,NA,NA,Whitewater River,Palm Desert,NA,1948-01-01-1967-12-31,yearly,acre-feet,Groundwater,
6,38797,8,NA,NA,"T 100-200 N, R 200-300 E, S NE 1/4",CACHE CREEK DRAINAGE BASIN,Water Valley,California,DD/MM/YYYY-DD/MM/YYYY,Yearly,inches,Precipitation,
7,38797,8,NA,NA,"T 200-300 N, R 300-400 E, S NW 1/2",CACHE CREEK DRAINAGE BASIN,East Side,California,DD/MM/YYYY-DD/MM/YYYY,Yearly,inches,Precipitation,
8,38797,8,NA,NA,"T 300-400 N, R 400-500 E, S NE 3/4",CACHE CREEK DRAINAGE BASIN,South Divide,California,DD/MM/YYYY-DD/MM/YYYY,Yearly,inches,Precipitation,
9,53419,29,"39°41'45""","-123°28'46""",N # N,Waring,"""21N/15W -1R,M""",Mendocino,01/06/1966-30/09/1966,Monthly,"""gpm""",Groundwater,Springs
10,53419,29,"39°39'25""","-123°35'15""",N # N,Waring,"""21N/15W -19M,M""",Mendocino,01/06/1966-30/09/1966,Monthly,"""gpm""",Groundwater,Springs
11,53419,29,NA,NA,NA,NA,NA,Napa,01/06/1966-30/09/1966,Monthly,"""gpm""",Groundwater,Springs
12,3067,268,NA,NA,NA,Complex water usage data,NA,NA,01/01/1955-12/31/1956,Monthly and annual summaries,"Ac-ft (Acre-feet), mean values",Precipitation,
13,3067,268,NA,NA,NA,NA,NA,NA,01/01/1955-12/31/1956,Monthly and annual summaries,"Ac-ft (Acre-feet), mean values",Precipitation,
14,3067,268,NA,NA,NA,NA,NA,NA,01/01/1955-12/31/1956,Monthly and annual summaries,"Ac-ft (Acre-feet), mean values",Precipitation,
15,10372,13,NA,NA,"T 30 S, R 27 E",MOUNT DIABLO BASE LINE AND MERIDIAN,"T. 30 S., R. 27 E.",NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
16,10372,13,NA,NA,"28 E., 29 E., and 30 E.",MOUNT DIABLO BASE LINE AND MERIDIAN,Various locations,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
17,10372,13,NA,NA,"T 31 S, R 24 E",MOUNT DIABLO BASE LINE AND MERIDIAN,"T. 31 S., R. 24 E.",NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
18,10372,13,NA,NA,"T 32 S, R 23 E",MOUNT DIABLO BASE LINE AND MERIDIAN,"T. 32 S., R. 23 E.",NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
19,10372,13,NA,NA,"Tps. 11 & 12 N, 18 W.",SAN BERNARDINO BASE LINE AND MERIDIAN,"Tps. 11 & 12 N., 18 W.",NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
20,10372,13,NA,NA,"19 W., 20 W., and 21 W.",SAN BERNARDINO BASE LINE AND MERIDIAN,Various locations,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
21,10372,13,NA,NA,"Tps. 11 & 12 N, 23 W.",SAN BERNARDINO BASE LINE AND MERIDIAN,"Tps. 11 & 12 N., 23 W.",NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,
22,48176,27,NA,NA,NA,Pajaro Valley area in California,NA,California,01/01/1963-31/12/1969,Yearly,k,Groundwater,
