,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,RESOLUTION,UNITS_USED,WATER_TYPE,Water_Type, WATER_TYPE,DEPTH_FT,STORAGE_ACRE_FT,WARE_TYPE,Comments
0,56394,282,NA,NA,NA,NA,Point of Interest,NA,01/01/1975-12/31/1976,yearly,NA,Groundwater,,,,,,
,56394,282,1,1,1,0,0,1,1,0,0,0,,,,,,"*Only pulled some things from the first table on the page, nothing from the second. Completely made up ""Palm Desert"""
1,2846,29,NA,NA,NA,Whitewater River,Palm Desert,NA,1948-1967,Yearly,Acre-feet,,Groundwater,,,,,
,2846,29,1,1,1,1,0,1,0,0,1,,1,,,,,
2,2846,29,NA,NA,NA,San Gorgonio Pass subbasin,Palm Desert,NA,1948-1967,Yearly,Acre-feet,,Groundwater,,,,,
,2846,29,1,1,1,0,0,1,0,0,1,,1,,,,,
3,2846,29,NA,NA,NA,Snow Creek,Palm Desert,NA,1948-1967,Yearly,Acre-feet,,Groundwater,,,,,
,2846,29,1,1,1,0,0,1,0,0,1,,1,,,,,
4,38797,8,39.4566,-122.3464,R 348/625 N/E 1/4,CACHE CREEK DRAINAGE BASIN,Point of Interest: California,California,01/01/1970-12/31/2022,Yearly,,Groundwater,,,,,,
,38797,8,0,0,0,0,0,0,0,0,0,0,,,,,,*This page has no tables
5,38797,8,NA,NA,NA,NA,Point of Interest: California,California,01/01/1970-12/31/2022,Yearly,,Groundwater,,,,,,
,,,,,,,,,,,,,,,,,,
6,38797,8,NA,NA,NA,NA,Point of Interest: California,California,01/01/1970-12/31/2022,Yearly,,Groundwater,,,,,,
,,,,,,,,,,,,,,,,,,
7,53419,29,-86.5115,34.2462,"T 1/4 N/S, R 2/4 E/W, S NE 3/8 SE",Spring Data,Fountain,NA,01/01/1970-12/31/2022,Yearly,gpm,Groundwater,,,,,,
,53419,29,0,0,0,0,0,0,0,1,1,0,,,,,,
8,53419,29,-86.5115,34.2462,"T 1/4 N/S, R 2/4 E/W, S NE 3/8 SE",Spring Data,Fountain,NA,01/01/1970-12/31/2022,Yearly,gpm,Groundwater,,,,,,
9,3067,268,NA,NA,NA,NA,NA,NA,01/1955-12/1956,Monthly,Ac-ft,Water Usage,,,,,,
,3067,268,1,1,1,0,0,0,1,1,1,0,,,,,,
10,3067,268,NA,NA,NA,NA,NA,NA,01/1955-12/1956,Monthly,Ac-ft,Water Usage,,,,,,
11,3067,268,NA,NA,NA,NA,NA,NA,01/1955-12/1956,Monthly,Ac-ft,Water Usage,,,,,,
12,10372,13,T. 30 S.,R. 27 E.,"T. 30 S., R. 27 E.",,"T. 30 S., R. 27 E.",,01/01/1975-31/12/1977,yearly,Acre-feet,Groundwater,,,,,,
,10372,13,0,0,1,0,0,0,1,1,1,1,,,,,,
13,10372,13,T. 30 E.,,,,28 E.,,01/01/1975-31/12/1977,yearly,Acre-feet,Groundwater,,,,,,
14,10372,13,T. 31 S.,R. 24 E.,"T. 31 S., R. 24 E.",,"T. 31 S., R. 24 E.",,01/01/1975-31/12/1977,yearly,Acre-feet,Groundwater,,,,,,
15,10372,13,T. 32 S.,R. 23 E.,"T. 32 S., R. 23 E.",,"T. 32 S., R. 23 E.",,01/01/1975-31/12/1977,yearly,Acre-feet,Groundwater,,,,,,
,10372,13,0,0,,,,,,,,,,,,,,
16,10372,13,T. 11 & 12 N.,18 W.,Tps. 11 & 12 N. 18 W.,,Tps. 11 & 12 N. 18 W.,,01/01/1975-31/12/1977,yearly,Acre-feet,Groundwater,,,,,,
17,48176,27,37,-121.75,"Pajaro Valley, California",NA,Pajaro Valley,Santa Cruz,01/01/1963-12/31/1969,annually,acre-feet,Irrigation,,,,,,
,48176,27,0,0,0,0,1,0,1,1,1,0,,,,,,
18,48176,27,37,-121.75,"Pajaro Valley, California",NA,Pajaro Valley,Santa Cruz,01/01/1963-12/31/1969,annually,acre-feet,Other,,,,,,
19,48176,27,37,-121.75,"Pajaro Valley, California",NA,Pajaro Valley,Santa Cruz,01/01/1963-12/31/1969,annually,acre-feet,Total,,,,,,
20,3067,266,NA,NA,NA,NA,NA,NA,01/01/1970-12/31/2022,daily,Ac-ft,Groundwater,,,,,,
21,28950,19,-34,150,T 13 N/S R 15 E/W S NW/1/2,NA,NA,NA,01/01/1970-12/31/1999,yearly,NA,Precipitation,,,,,,
22,28950,19,-34,150,T 13 N/S R 15 E/W S NW/1/2,NA,NA,NA,01/01/1970-12/31/1999,yearly,NA,Precipitation,,,,,,
23,28950,19,-34,150,T 13 N/S R 15 E/W S NW/1/2,NA,NA,NA,01/01/1970-12/31/1999,yearly,NA,Precipitation,,,,,,
24,25076,28,NA,NA,36.2 square miles T N/S R E/W S NW/SW/NE/SE fraction (Erskine Creek),Erskine Creek near Isabella,Erskine Creek near Isabella,,01/10/YYYY-31/12/YYYY,monthly,,,,Precipitation,,,,
,25076,28,1,1,0,1,0,0,0,1,0,,,0,,,,
25,25076,28,NA,NA,36.2 square miles T N/S R E/W S NW/SW/NE/SE fraction (Basin Creek),Basin Creek near Havilah,Basin Creek near Havilah,,01/10/YYYY-31/12/YYYY,monthly,,,,Precipitation,,,,
,25076,28,1,1,0,1,0,0,0,1,0,,,0,,,,
26,25076,28,NA,NA,17 square miles T N/S R E/W S NW/SW/NE/SE fraction (Tejon House Creek),Tejon House Creek at Tejon ranch house,Tejon House Creek at Tejon ranch house,,01/10/YYYY-31/12/YYYY,monthly,,,,Precipitation,,,,
27,25076,32,NA,NA,Kaweah River N 1/4,Kaweah River,Kaweah River,NA,01/10/1902-30/09/1926,monthly,NA,,,Stream Discharge,,,,
28,25076,32,NA,NA,Kaweah River N 1/4,Kaweah River,Kaweah River,NA,01/10/1902-30/09/1926,monthly,NA,,,Stream Discharge,,,,
29,25076,32,NA,NA,Kaweah River N 1/4,Kaweah River,Kaweah River,NA,01/10/1902-30/09/1926,monthly,NA,,,Stream Discharge,,,,
30,2846,46,34.0122,-116.5147,T 1 N/S R 1 E/W S 1/4 NW,Desert Hot Springs,Desert Hot Springs,N/A,01/01/1970-12/31/2099,Yearly,,Reservoir,,,300,779000,,
,2846,46,0,0,0,1,0,0,0,0,0,0,,,,,,
31,2846,46,33.5667,-116.4,T 1 N/S R 1 E/W S 3/4 SW,Mission Creek,Mission Creek,N/A,01/01/1970-12/31/2099,Yearly,,Reservoir,,,500,2630000,,
32,2846,46,33.75,-116.4833,T 1 N/S R 2 E/W S 3/4 NW,Garnet Hill,Garnet Hill,N/A,01/01/1970-12/31/2099,Yearly,,Reservoir,,,500,1520000,,
33,2846,46,33.5167,-116.85,T 1 N/S R 2 E/W S 3/4 SW,Whitewater River,Whitewater River,N/A,01/01/1970-12/31/2099,Yearly,,Reservoir,,,700,10200000,,
34,2846,46,N/A,N/A,NA,Total,Total,N/A,01/01/1970-12/31/2099,Yearly,,Reservoir,,,NA,15700000,,
35,56394,254,NA,NA,NA,NA,Point of Interest,NA,01/10/2022-30/09/2023,monthly,NA,,,,,,Precipitation,
36,56394,254,NA,NA,NA,NA,Point of Interest,NA,01/10/2022-30/09/2023,monthly,NA,,,,,,Precipitation,
37,56394,254,NA,NA,NA,NA,Point of Interest,NA,01/10/2022-30/09/2023,monthly,NA,,,,,,Precipitation,
