,ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms
0,56394,282,,,37.6663888889,-120.4411111111,"Near La Grange, CA","['NW14 sec.2 T.3 S., R.14 E.']",TUOLUMNE RIVER BELOW LA GRANGE DAM,Stanislaus County,10/01/1975-09/30/1976,Daily,cubic feet per second (ft³/s) and acre-feet/year (acre-ft/yr),Stream Discharge,"['river discharge', 'flow diverted', 'gage', 'discharge record']"
1,2846,29,33.966,-116.119,,,"Upper Coachella Valley, California","['T. 5 S., R. 7 E.']",Whitewater River,Riverside,1948-12/31/1967,Annual,acre-ft,Stream Discharge,"['streamflow', 'Whitewater River']"
2,2846,29,33.8,-116.6,,,"Upper Coachella Valley, California",[],San Gorgonio Pass subbasin,Riverside,,,acre-ft,Groundwater,"['recharge', 'subbasin']"
3,2846,29,33.966,-116.119,,,"Upper Coachella Valley, California","['T. 5 S., R. 7 E.']",Colorado River water deliveries through Coachella Canal,Riverside,1948-12/31/1967,Annual,acre-feet,Irrigation,"['Colorado River', 'Coachella Canal']"
4,366,10,,,,,,[],Surface Water,,1915-01/01/1915-12/31/1915,"Daily, Monthly (28-31 days)","['Second-feet', 'Millions of gallons', 'Miles per hour']",Stream Discharge,"['Surface Water Supply', 'Discharge', 'Run-off', 'Velocity']"
5,1298,28,34.0,-117.5,,,"Santa Ana River and its tributaries, including Lytle Creek and Cajon Creek","['TRS1', 'TRS2']",Ana Santa River,San Bernardino,,,"['gpm', 'gpd', 'ft. sq.']",Stream Discharge,"['water-bearing', 'permeable', 'Unconsolidated', 'Ana Santa River']"
6,1298,28,34.0,-117.5,,,Confluence with Santa Ana River,['TRS3'],Cajon Creek,San Bernardino,,,"['gpm', 'ft. sq.']",Stream Discharge,"['Cajon Creek', 'water-level', 'permeable']"
7,1256,9,36.0,-119.5,,,"Coast Ranges, California",,"Stream Waters, Coast Ranges",Not specified,Not specified,Seasonal (October through September),inches,Stream Discharge,"['Mineral Composition', 'Stream Waters', 'Precipitation']"
8,1256,9,,,36.667,-120.5,"Priest Valley and Buttonwillow, California",,Precipitation in Priest Valley and Buttonwillow,Fresno County,Not specified,Seasonal (October through September),inches,Precipitation,"['Precipitation', 'Altitude', 'Seasonal']"
9,1256,9,,,35.4,-119.3,"Buttonwillow, California",,Precipitation in Buttonwillow,Kern County,Not specified,Seasonal (October through September),inches,Precipitation,"['Precipitation', 'Altitude', 'Seasonal']"
10,3067,268,,,37.509722,-119.197222,"Lat 37°30'35"", long 119°11'50"" in NEt sec. 11, T. 5 S., R. 25 E.","['T. 5 S., R. 25 E., sec. 11']",San Joaquin River at Miller Crossing,Tulare County,"10/1921-07/1928, 10/1951-09/1956",Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Area': 'square miles (sq mi)', 'Gage Height': 'feet (ft)'}",Stream Discharge,"['Discharge', 'Gage Water-stage recorder', 'Rating table']"
11,10372,13,36.0,-120.0,,,"Part of the San Joaquin Valley, California","['T. 30 S., R. 27 E.', '28 E.', '29 E.', '30 E.', 'T. 31 S., R. 24 E.', '25 E.', '26 E.', '27 E.', '28 E.', '29 E.', '30 E.', 'T. 32 S., R. 23 E.', '24 E.', '25 E.', '26 E.', '27 E.', '28 E.', '29 E.', '30 E.']",San Joaquin Valley Pumpages,"Multiple Counties in San Joaquin Valley, California",01/01/1975-12/31/1977,Annual,Acre-feet,Groundwater,"['Pumpages', 'acre-feet', 'San Joaquin Valley']"
12,48176,27,36.9847,-121.7533,,,"Pajaro Valley, California",[],Pajaro Valley Groundwater,Santa Cruz County,01/05/1963-30/04/1969,Yearly (May 1 - April 30),acre-feet,Groundwater,"['ground-water pumpage', 'irrigation', 'acre-feet']"
13,3067,266,,,36.215277777778,-120.46944444444,"near Coalinga, Calif.","['SW1', 'SE1 of sec. 5, T. 20 S., R. 14 E.']",Los Gatos Creek above Nunez Canyon near Coalinga,Tulare County,10/01/1949-09/30/1956,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet'}",Stream Discharge,"['Drainage area', 'Gage stage recorder', 'Average discharge', 'Extremes', 'Maximum discharge']"
14,1166,51,35.0,-120.0,,,Briscoe Creek,[],Briscoe Reservoir,,,,"['feet', 'acre-feet']",Reservoir,"['dam', 'reservoir', 'concrete dam', 'wasteway']"
15,1299,40,,,33.8308,-116.5465,"Near Palm Springs, California",[],Agua Caliente Spring,Riverside County,1948-06/11/1958,,feet,Groundwater,"['wells', 'drilled', 'Palm Springs Water Co.', 'Agua Caliente Indian Tribe']"
16,1299,40,,,33.8308,-116.5465,"Near Agua Caliente Spring, California",[],Well 5 (Palm Springs Water Co.),Riverside County,1948-04/11/1948,,feet,Groundwater,"['Palm Springs Water Co.', 'well 5', 'drilled by James Wright, Jr.']"
17,1299,40,,,33.8308,-116.5465,"Near Agua Caliente Spring, California",[],Test well 1 (Agua Caliente Indian Tribe),Riverside County,1958-06/10/1958,,feet,Groundwater,"['Agua Caliente Indian Tribe', 'test well 1', 'drilled by B & R Drilling Co.']"
18,1299,40,,,33.8308,-116.5465,"Near Agua Caliente Spring, California",[],Test well 2 (Agua Caliente Indian Tribe),Riverside County,1958-06/11/1958,,feet,Groundwater,"['Agua Caliente Indian Tribe', 'test well 2', 'drilled by B & R Drilling Co.']"
19,1299,40,,,33.8308,-116.5465,"Near Agua Caliente Spring, California",[],Test well 3 (Agua Caliente Indian Tribe),Riverside County,1958-06/11/1958,,feet,Groundwater,"['Agua Caliente Indian Tribe', 'test well 3', 'drilled by B & R Drilling Co.']"
20,25076,32,36.2146,-118.9907,36.2146,-118.9907,"San Joaquin River Basin, Calif.",,Kaweah River near Three Rivers,Tulare County,1902-10/1935-09,Monthly,second-feet,Stream Discharge,"['discharge', 'second-feet', 'stations', 'Kaweah River']"
21,25076,32,36.2925,-119.2467,36.2925,-119.2467,"San Joaquin River Basin, Calif.",,"Kaweah River at McKay Point, near Lemon Cove",Tulare County,1918-10/1920-09,Monthly,second-feet,Stream Discharge,"['discharge', 'second-feet', 'stations', 'Kaweah River', 'McKay Point']"
22,1325,13,34.8,-120.5,,,Southern half of the missile facility near Tranquillon Mountain,[],Point Arguello Naval Missile Facility,"Santa Barbara County, California",,,"['feet', 'gallons per minute']",Groundwater,"['consolidated rocks', 'sandstone and shale units', 'springs', 'Franciscan formation', 'Matilija sandstone member', 'Tejon formation', 'Sacate formation', 'Gaviota formation', 'Vaqueros formation', 'Tranquillon volcanics', 'Monterey shale']"
23,2846,46,33.683,-116.152,,,"Coachella Valley, California",[],Groundwater,Riverside,03/01/1953-12/31/1967,Annual (1953-1967),Acre-feet,Groundwater,"['ground-water flow', 'water levels', 'storage coefficient', 'hydrologic equation']"
24,2846,46,33.683,-116.152,,,"Coachella Valley, California",[],Desert Hot Springs Groundwater Subbasin,Riverside,,,Acre-feet,Groundwater,"['Desert Hot Springs', 'storage']"
