id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review,lat_combined,lon_combined,lat_source_col,lon_source_col,coord_source,in_california
38962,21,41.15,-111.97,,,Wasatch Mountains of northern Utah,[],Aspen-herbaceous covered plot in northern Utah,,Weber County,1947-01-01 to 1949-12-31,Annual,inches,Precipitation,"['precipitation', 'natural water loss', 'recoverable water']",main,38962_21,41.15,-111.97,Precipitation,,1947,1949,[1947 1949],EXACT_RANGE,,False,41.15,-111.97,inferred_latitude,inferred_longitude,inferred,False
3144,39,,,31.7461,-110.5669,"near St. Johns, Arizona",[],Lyman Canal below Lyman Reservoir,Pima County,,"10/01/1963-09/30/1964, 10/01/1964-09/30/1965",Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Discharge', 'Cubic Feet per Second']",main,3144_39,31.7461,-110.5669,Stream discharge,,1963,1965,[1963 1964 1965],MULTI_YEARS_OR_RANGES,,False,31.7461,-110.5669,actual_latitude,actual_longitude,actual,False
3217,374,,,42.15,-121.7,"SW1 sec. 30, T. 39 S., R. 10 E., near Olene, Oregon","['T. 39 S., R. 10 E., SW1 sec. 30']",Klamath River to Lost River Diversion,Unknown,"Lake County, Oregon",1930-10/01 to 1950-12/31,Daily,"cubic feet per second (cfs), acre-feet",Stream Discharge,"['canal', 'diversion', 'Klamath River', 'Lost River', 'irrigation', 'Tule Lake']",main,3217_374,42.15,-121.7,Stream discharge,,1930,1950,[1930 1950],EXACT_RANGE,,False,42.15,-121.7,actual_latitude,actual_longitude,actual,False
3217,374,,,42.1333,-121.9667,"SE sec. 35, T. 39 S., R. 7 E., near Keno, Oregon","['T. 39 S., R. 7 E., SE sec. 35']","Klamath River at Keno, Oregon",Unknown,"Lake County, Oregon",1904-01/01 to 1950-12/31,Daily,cubic feet per second (cfs),Stream Discharge,"['Klamath River', 'discharge', 'gage', 'South Canal', 'Midland Canal']",main,3217_374,42.1333,-121.9667,Stream discharge,,1904,1950,[1904 1950],EXACT_RANGE,,False,42.1333,-121.9667,actual_latitude,actual_longitude,actual,False
604,308,,,42.233333,-120.5,Water-stage recorder,"['SW1 sec. 29, T. 38 S., R. 19 E.']",Cottonwood Creek,,"Lake County, Oregon","['11/01/1908-09/30/1919', '10/01/1925-09/30/1947']",Daily,Second-feet,Stream Discharge,"['discharge', 'flow', 'gage height', 'water-stage recorder']",main,604_308,42.233333,-120.5,Stream discharge,,1908,1947,[1908 1909 1919 1925 1947],MULTI_YEARS_OR_RANGES,,False,42.233333,-120.5,actual_latitude,actual_longitude,actual,False
2913,70,,,42.5,-111.3166667,"Near Georgetown, Idaho","['T. 11 S., R. 44 E., NE1 sec. 4']",Georgetown Creek,"Owyhee County, Idaho",,1923-01-01-1950-12-31,Yearly and Monthly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['stream discharge', 'cubic feet per second', 'maximum day', 'minimum day', 'mean', 'runoff']",main,2913_70,42.5,-111.3166667,Stream discharge,,1923,1950,[1923 1950],EXACT_RANGE,,False,42.5,-111.3166667,actual_latitude,actual_longitude,actual,False
251,360,33.1478,-111.7321,,,"Near Superior, Ariz.",[],Queen Creek,,"Pinal County, Arizona",October 1919-September 1920,Monthly,"{'Discharge': 'second-feet', 'Runoff': ['Second-foot-days', 'Acre-feet']}",Stream Discharge,"['Discharge', 'Second-feet', 'Runoff', 'Acre-feet']",main,251_360,33.1478,-111.7321,Stream discharge,,1919,1920,[1919 1920],EXACT_RANGE,,False,33.1478,-111.7321,inferred_latitude,inferred_longitude,inferred,False
251,204,,,34.3667,-111.7833,"Coolidge Dam, Arizona",[],San Carlos Reservoir,Yavapai County,,10/31/1928-09/30/1934,Monthly,"{'Elevation': 'feet', 'Contents_Change': 'acre-feet'}",Reservoir,"['San Carlos Reservoir', 'Coolidge Dam', 'elevation', 'contents']",main,251_204,34.3667,-111.7833,Reservoir,,1928,1934,[1928 1934],EXACT_RANGE,,False,34.3667,-111.7833,actual_latitude,actual_longitude,actual,False
2447,320,,,38.0416667,-111.45,on left bank 11 miles northwest of Boulder,"['N12 sec. 10, T.32 S., R. E.']",East Fork Boulder Creek near Boulder,,"San Juan County, Utah","May 27, 1951 - Sept. 18, 1961",Varies by year; specific dates given for each measurement,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['Gage height', 'Discharge', 'Stage-discharge relation']",main,2447_320,38.0416667,-111.45,Stream discharge,,1951,1961,[1951 1961],EXACT_RANGE,,False,38.0416667,-111.45,actual_latitude,actual_longitude,actual,False
2447,320,,,38.0013889,-111.3894444,"on right bank on State Highway U-54, 8 miles north of Boulder","['sec. 29, T.3 32 S., R.5 E.']",East Fork Deer Creek near Boulder,,"San Juan County, Utah","Aug. 4, 1951 - Sept. 21, 1962",Varies by year; specific dates given for each measurement,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['Gage height', 'Discharge', 'Stage-discharge relation']",main,2447_320,38.0013889,-111.3894444,Stream discharge,,1951,1962,[1951 1962],EXACT_RANGE,,False,38.0013889,-111.3894444,actual_latitude,actual_longitude,actual,False
3144,226,,,33.7416667,-108.7708333,"33°44'30""N 108°46'15""W in SWNE sec 35, T.6 S., R.19 W.","['T.6 S., R.19 W., sec 35']",San Francisco River near Reserve,,"Apache County, New Mexico",03/1959-09/1965,Hourly for specific events,"{'Discharge': 'cubic feet per second (cfs)', 'Gage height': 'feet', 'Precipitation/Accumulation': 'acre-feet'}",Stream Discharge,"['Stream', 'Discharge', 'Gage height', 'Flow rate']",main,3144_226,33.7416667,-108.7708333,Stream discharge,,1959,1965,[1959 1965],EXACT_RANGE,,False,33.7416667,-108.7708333,actual_latitude,actual_longitude,actual,False
3144,342,,,32.352777,-111.095833,"L bridge pier in Cortaro, Arizona","['T.12 S., R.12 E., sec. 26']",Santa Cruz River,"Pima County, Arizona",,10/09/1960-07/24/1964,"Hourly (for maximum discharges), Monthly (discharge table)","{'Discharge': 'cubic feet per second', 'Gage height': 'feet', 'Drainage area': 'square miles', 'Annual total discharge': 'acre-feet'}",Stream Discharge,"['Santa Cruz River', 'discharge', 'gage height', 'flow']",main,3144_342,32.352777,-111.095833,Stream discharge,,1960,1964,[1960 1964],EXACT_RANGE,,False,32.352777,-111.095833,actual_latitude,actual_longitude,actual,False
2447,244,,,40.233333,-107.016667,4 miles southwest of town of Oak Creek and 16 miles upstream from mouth,"['T.3 N., R.86 W., NE+ sec. 15']","Oak Creek near Oak Creek, Colo.",Unspecified,"Jackson County, Colorado (inferred)","May 18, 1954-05/24, 1956",Annual measurements,"{'Gage_height': 'feet', 'Discharge': 'cubic feet per second (cfs)'}",Stream Discharge,"['stream discharge', 'gage height', 'discharge']",main,2447_244,40.233333,-107.016667,Stream discharge,,1954,1956,[1954 1956],EXACT_RANGE,,False,40.233333,-107.016667,actual_latitude,actual_longitude,actual,False
2447,244,,,40.483333,-106.833333,30 ft downstream from First Street Bridge in Steamboat Springs and a quarter of a mile upstream from Soda Creek,"['sec.17, T.6 N., R.84 W.']","Yampa River at Steamboat Springs, Colo.",Unspecified,"Routt County, Colorado (inferred)","May 2, 1919-06/14, 1921",Annual measurements,"{'Gage_height': 'feet', 'Discharge': 'cubic feet per second (cfs)'}",Stream Discharge,"['stream discharge', 'gage height', 'discharge']",main,2447_244,40.483333,-106.833333,Stream discharge,,1919,1921,[1919 1921],EXACT_RANGE,,False,40.483333,-106.833333,actual_latitude,actual_longitude,actual,False
2249,406,,,42.0667,-121.8,"Coffee, California",[],Coffee Creek,Klamath County,Klamath County,10/03/1911-07/29/1912,Daily,"{'Gage_height': 'Feet', 'Discharge': 'Sec.-ft'}",Stream Discharge,"['Discharge measurements', 'Gage height', 'Sec.-ft']",main,2249_406,42.0667,-121.8,Stream discharge,,1911,1912,[1911 1912],EXACT_RANGE,,False,42.0667,-121.8,actual_latitude,actual_longitude,actual,False
25119,26,40.1483,-106.9515,,,"near Buford, Colo.",[],North Fork White River near Buford,"Routt County, Colorado","Routt County, Colorado",1903-06;1956-,Daily or monthly figures (calendar years),,Stream Discharge,"['North Fork White River', 'Buford']",main,25119_26,40.1483,-106.9515,Stream discharge,,1903,1956,[1903 1906 1956],MULTI_YEARS_OR_RANGES,,False,40.1483,-106.9515,inferred_latitude,inferred_longitude,inferred,False
25119,26,40.1483,-106.9515,,,"near Buford, Colo.",[],"South Fork White River near Buford, Colo","Routt County, Colorado","Routt County, Colorado",1903-06;1910-15;1942-47;1967-,Daily or monthly figures (calendar years),,Stream Discharge,"['South Fork White River', 'Buford']",main,25119_26,40.1483,-106.9515,Stream discharge,,1903,1967,[1903 1906 1910 1915 1942 1947 1967],MULTI_YEARS_OR_RANGES,,False,40.1483,-106.9515,inferred_latitude,inferred_longitude,inferred,False
25119,26,40.1546,-107.8557,,,"near Meeker, Colo.",[],"White River above Coal Creek, near Meeker, Colo","Routt County, Colorado","Routt County, Colorado",1961-,Daily or monthly figures (calendar years),,Stream Discharge,"['White River', 'Coal Creek', 'Meeker']",main,25119_26,40.1546,-107.8557,Stream discharge,,1961,1961,[1961],SINGLE_YEAR,,False,40.1546,-107.8557,inferred_latitude,inferred_longitude,inferred,False
25119,26,40.1546,-107.8557,,,"near Meeker, Colo.",[],"Coal Creek near Meeker, Colo","Routt County, Colorado","Routt County, Colorado",1957-68.,Daily or monthly figures (calendar years),,Stream Discharge,"['Coal Creek', 'Meeker']",main,25119_26,40.1546,-107.8557,Stream discharge,,1957,1968,[1957 1968],EXACT_RANGE,,False,40.1546,-107.8557,inferred_latitude,inferred_longitude,inferred,False
