,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,COUNTY,DATE_OF_DATA,WATER_TYPE
0,56394,282,NA,NA,NA,NA-NA,Other (Choose a WATER_TYPE that best describes the data)
1,2846,29,NA,NA,NA,01/01/1948-12/31/1967,Precipitation
2,2846,29,NA,NA,NA,01/01/1948-12/31/1967,Precipitation
3,38797,8,NA,NA,CALIFORNIA,NA-NA,Precipitation
4,38797,8,NA,NA,CALIFORNIA,NA-NA,Groundwater recharge
5,53419,29,NA,NA,MENDOCINO,NA-NA,Groundwater well
6,53419,29,NA,NA,NAPA,NA-NA,Irrigation
7,3067,268,NA,NA,NA,01/01/1955-12/31/1955,Precipitation
8,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Groundwater recharge
9,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Groundwater recharge
10,10372,13,NA,NA,San Bernardino County,01/01/1975-12/31/1977,Groundwater recharge
11,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Precipitation
12,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Groundwater recharge
13,10372,13,NA,NA,San Bernardino County,01/01/1975-12/31/1977,Groundwater recharge
14,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Groundwater recharge
15,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Groundwater recharge
16,10372,13,NA,NA,San Bernardino County,01/01/1975-12/31/1977,Groundwater recharge
17,10372,13,NA,NA,Contra Costa County,01/01/1975-12/31/1977,Groundwater recharge
18,48176,27,37.0667,-121.9333,Santa Cruz,01/01/1963-12/31/1968,Irrigation
19,48176,27,NA,NA,Santa Cruz,NA,Other uses
20,48176,27,37.0667,-121.9333,Santa Cruz,NA,Total pumpage
21,3067,266,,,NA,01/01/1970-12/31/1970,Precipitation
22,3067,266,,,NA,01/02/1970-12/31/1970,Precipitation
23,28950,19,NA,NA,NA,NA-NA,Other (Choose a WATER_TYPE that best describes the data)
24,28950,19,NA,NA,NA,NA-NA,Other (Choose a WATER_TYPE that best describes the data)
25,25076,28,NA,NA,NA,1911-12-DD/MM/YYYY-DD/MM/YYYY,Groundwater recharge
26,25076,28,NA,NA,NA,1912-13-DD/MM/YYYY-DD/MM/YYYY,Groundwater recharge
27,25076,28,NA,NA,NA,1913-14-DD/MM/YYYY-DD/MM/YYYY,Precipitation
28,25076,28,NA,NA,NA,1918-19-DD/MM/YYYY-DD/MM/YYYY,NA
29,25076,28,NA,NA,NA,1919-20-DD/MM/YYYY-DD/MM/YYYY,Groundwater recharge
30,25076,28,NA,NA,NA,1920-21-DD/MM/YYYY-DD/MM/YYYY,Precipitation
31,25076,28,NA,NA,NA,1921-22-DD/MM/YYYY-DD/MM/YYYY,Groundwater recharge
32,25076,28,NA,NA,NA,1922-23-DD/MM/YYYY-DD/MM/YYYY,Precipitation
33,25076,28,NA,NA,NA,1923-24-DD/MM/YYYY-DD/MM/YYYY,Groundwater recharge
34,25076,28,NA,NA,NA,1924-25-DD/MM/YYYY-DD/MM/YYYY,Precipitation
35,25076,32,36.5333,-119.0167,Tulare,01/10/1902-30/09/1926,Stream discharge
36,25076,32,NA,NA,Tulare,NA-NA,Stream discharge
37,2846,46,NA,NA,Riverside,NA-NA,Groundwater recharge
38,2846,46,NA,NA,Riverside,NA-NA,Groundwater recharge
39,2846,46,NA,NA,San Diego,NA-NA,Reservoir
40,56394,254,NA,NA,NA,01/10/2022-29/09/2022,Precipitation
41,56394,254,NA,NA,NA,01/10/2022-29/09/2022,Groundwater recharge
