,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,COUNTY,DATE_OF_DATA,WATER_TYPE
0,56394,282,NA,NA,NA,NA-NA,Precipitation
1,2846,29,NA,NA,NA,01/01/1948-12/31/1967,Precipitation
2,2846,29,NA,NA,NA,01/01/1948-12/31/1967,Groundwater
3,2846,29,NA,NA,NA,01/01/1948-12/31/1967,Precipitation
4,38797,8,-35,-118.62,CALIFORNIA,NA-NA,Stream
5,3067,268,NA,NA,NA,01/1963-12/1963,Groundwater
6,10372,13,NA,NA,Contra Costa,01/01/1975-12/31/1977,Groundwater
7,10372,13,NA,NA,Contra Costa,01/01/1975-12/31/1977,Groundwater
8,10372,13,NA,NA,Contra Costa,01/01/1975-12/31/1977,Groundwater
9,10372,13,NA,NA,San Bernardino,01/01/1975-12/31/1977,Precipitation
10,10372,13,NA,NA,San Bernardino,01/01/1975-12/31/1977,Precipitation
11,10372,13,NA,NA,San Bernardino,01/01/1975-12/31/1977,Precipitation
12,48176,27,NA,NA,Santa Cruz,01/1963-31/1968,Groundwater
13,48176,27,NA,NA,Santa Cruz,01/1963-31/1968,Irrigation
14,3067,266,NA,NA,NA,01/01/1955-12/31/1955,Precipitation
15,3067,266,NA,NA,NA,01/01/1956-12/31/1956,Precipitation
16,28950,19,NA,NA,NA,01/01/1900-12/31/2099,Other (Choose a WATER_TYPE that best describes the data)
17,25076,28,NA,NA,NA,01/01/1910-12/31/1914,Groundwater
18,25076,28,NA,NA,NA,01/01/1915-12/31/1924,Groundwater
19,25076,28,-35.02,140.85,Isabella,01/01/1894-12/31/1895,Precipitation
20,25076,32,-36.55,119.05,Tulare,1902-03/1925-26,Stream
21,25076,32,-36.55,119.05,Tulare,1902-03/1925-26,Stream
22,2846,46,NA,NA,NA,01/01/1970-12/31/2022,Groundwater
23,2846,46,NA,NA,NA,01/01/1970-12/31/2022,Reservoir
24,2846,46,NA,NA,NA,01/01/1970-12/31/2022,Groundwater
25,2846,46,NA,NA,NA,01/01/1970-12/31/2022,Reservoir
26,56394,254,NA,NA,NA,10/2019-09/2020,Groundwater
