,ID,PAGE_NUMBER,Latitude,Longitude,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,,Total points (out of 9) ,Percentage
0,56394,282,37.6664,-120.4411,"NW & NW14 sec.21 T.3 S., R.14 E.","TUOLUMNE RIVER BELOW LA GRANGE DAM, NEAR LA GRANGE, CA",Stanislaus County,October 1970 to current year,Daily,"cubic feet per second (ft³/s), acre-feet per year (acre-ft/yr)",Stream Discharge,,,
AH,,,1,1,1,1,1,0.5,0,1,1,,7.5,83.33333333
1,2846,29,,,,Whitewater River,,,,acre-ft,Stream Discharge,,,
AH,,,1,1,1,1,1,1,1,1,0.5,,8.5,94.44444444
2,2846,29,,,,San Gorgonio Pass subbasin,,,,acre-ft,Groundwater,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
3,2846,29,,,,Snow Creek,,,,acre-ft,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,0.5,,8.5,94.44444444
4,2846,29,,,,Falls Creek,,,,acre-ft,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,0.5,,8.5,94.44444444
5,2846,29,,,,Chino Canyon,,,,acre-ft,Groundwater,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
6,2846,29,,,,Tahquitz Creek,,,,acre-ft,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,0.5,,8.5,94.44444444
7,2846,29,,,,Palm Canyon,,,,acre-ft,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,0.5,,8.5,94.44444444
8,2846,29,,,,Deep Creek (Palm Desert),,,,acre-ft,Stream Discharge,,,
,,,1,1,1,1,1,1,1,1,0.5,,8.5,94.44444444
9,2846,29,,,,Miscellaneous,,,,acre-ft,Groundwater,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
10,2846,29,,,"['secs. 3 and 9, T. 5 S., R. 7 E.']",Colorado River water deliveries through Coachella Canal,,"['1948', '1949', '1950', '1951', '1952', '1953', '1954', '1955', '1956', '1957', '1958', '1959', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967']",Annual,acre-feet,Irrigation,,,
AH ,,,1,1,1,1,1,1,1,1,0,,8,88.88888889
13,38797,8,,,[],North Fork Cache Creek,,,,,Stream Discharge,,,
AH,,,1,1,1,0,1,1,1,1,0,,7,77.77777778
14,38797,8,,,[],Cache Creek,,,,,Stream Discharge,,,
,,,1,1,1,0,1,1,1,1,0,,7,77.77777778
15,38797,8,,,[],Bear Creek,,,,,Stream Discharge,,,
,,,1,1,1,0,1,1,1,1,0,,7,77.77777778
16,53419,29,39.695833,-123.479444,"21N/15W -1R,M 39°41'45""N,123°28'46""",Spring Pinches Sulphur,MENDOCINO,9-29-66 to 9-29-66,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
AH,,,1,1,1,1,1,1,1,1,1,,9,100
17,53419,29,39.656944,-123.5875,"21N/15W -19M,M 39°39'25""N,123°35'15""",Mud Springs Valley (Jackson Springs) Branscomb,MENDOCINO,9-29-66 to 9-29-66,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
18,53419,29,39.826111,-123.58,"23N/15W -19L,M 39*49'34""N,123°34'48""",Division California Highways of,MENDOCINO,9-28-66 to 9-28-66,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,1,1,1,1,,9,100
19,53419,29,38.284444,-122.328056,"5N/4W -17C,M 38°17'04""N,122°19'41""",Spring Stearns Congress F. A.,NAPA,6-65 to 5-11-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
20,53419,29,38.347222,-122.235,"6N/3W -19X,M 38*20'50""N,122""14'06""",Imboden Pete,NAPA,5-11-65 to 6-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
21,53419,29,38.389722,-122.2775,"6N/4W -2N,M 38*23'23""N,122°16'39""",Soda Springs Nape Soda Jacksons Springs Nasser Napa A1,NAPA,6-65 to 5-11-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
22,53419,29,38.338889,-122.259167,"6N/4W -25E,M 38*20'20""N,122""15'33""",Springs Vichy Lepori Harris Napa M. E.,NAPA,6-65 to 5-11-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
23,53419,29,38.396944,-122.366667,"6N/5W -1L,M 38°23'49""N,122*22'00""",State Home California Veterans,NAPA,6-65 to 5-11-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
24,53419,29,38.484444,-122.241389,"TN/3W -6E,M 38*29'04""N,122""14'29""",Division California of Highways,NAPA,7-65 to 5-11-65,,"{'Temperature': 'Fahrenheit', 'Discharge': 'gpm'}",Springs,,,
,,,1,1,1,1,1,0.5,1,1,1,,8.5,94.44444444
